citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_rewrite,citation_locations_rewrite,cited_in_companion,citation_locations_companion,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified,connection_themes,suggested_sections,terminology,integration_note,reviewed_passages,reviewed_version,reading_status,review_priority,attribution_note
acemogluloebbing2026,conversation_addition,no,,no,,no,,no,,no,,article,"Acemoglu, Daron and Loebbing, Jonas",Automation and Polarization,2026,Journal of Political Economy,134,3,1017-1072,10.1086/739330,https://economics.mit.edu/sites/default/files/2026-03/Automation%20and%20Polarization.pdf,https://doi.org/10.1086/739330,"Assignment model with a continuum of worker skills and task complexity, allowing tasks to be performed by capital. Profitability can make intermediate-complexity tasks the first to be automated; greater capital productivity can polarize wages and employment.",editorial_summary,https://economics.mit.edu/sites/default/files/2026-03/Automation%20and%20Polarization.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-high; task assignment; polarization; heterogeneous labor,theory,"Assignment model with a continuum of worker skills and task complexity, allowing tasks to be performed by capital.",Profitability can make intermediate-complexity tasks the first to be automated; greater capital productivity can polarize wages and employment.,Use to explain why one aggregate elasticity cannot describe every occupation or worker.,Comparative advantage and endogenous task assignment are absent from our representative-worker model; their results are not RSI growth predictions.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published JPE PDF, pp. 1017-1019 (PDF 1-3). This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Límites y extensiones,Conclusiones: límites y futuras extensiones,,"Candidato, no añadido al manuscrito. Use to explain why one aggregate elasticity cannot describe every occupation or worker.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published JPE PDF, pp. 1017-1019 (PDF 1-3). This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,alta,
acemoglurestrepo2026rents,conversation_addition,no,,no,,no,,no,,no,,article,"Acemoglu, Daron and Restrepo, Pascual","Automation and Rent Dissipation: Implications for Wages, Inequality, and Productivity",2026,Quarterly Journal of Economics,141,2,1521-1579,10.1093/qje/qjag006,https://shapingwork.mit.edu/wp-content/uploads/2026/03/Acemoglu-Restrepo-November-2025.pdf,https://doi.org/10.1093/qje/qjag006,"Task model with worker rents, reduced-form evidence, and general-equilibrium quantification. Automation can target high-rent tasks, dissipating worker rents and reducing the welfare and productivity gains relative to a frictionless benchmark.",editorial_summary,https://shapingwork.mit.edu/wp-content/uploads/2026/03/Acemoglu-Restrepo-November-2025.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-high; labor rents; automation; inequality; market imperfections,theory and/or empirical evidence,"Task model with worker rents, reduced-form evidence, and general-equilibrium quantification.","Automation can target high-rent tasks, dissipating worker rents and reducing the welfare and productivity gains relative to a frictionless benchmark.",Use in limitations when discussing workers' economic position beyond their marginal-product wage.,Worker rents above outside options are not the same as AI-developer monopoly profit. Our competitive labor market omits this mechanism.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author version November 2025, introduction pp. 1-3 (PDF 3-5); publication checked: QJE 141(2), May 2026. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Salarios y participación laboral,Sección 4: salarios y rentas; conclusiones,,"Candidato, no añadido al manuscrito. Use in limitations when discussing workers' economic position beyond their marginal-product wage.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author version November 2025, introduction pp. 1-3 (PDF 3-5); publication checked: QJE 141(2), May 2026. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,alta,
althoffreichardt2026,conversation_addition,no,,no,,no,,no,,no,,techreport,"Althoff, Lukas and Reichardt, Hugo",Task-Specific Technical Change and Comparative Advantage,2026,Working paper; NBER Working Paper 35353,,,,10.3386/w35353,https://hugoreichardt.com/pdf/tstc_compadvantage.pdf,https://doi.org/10.3386/w35353,"Dynamic task-based general-equilibrium model with multidimensional skills, occupational choice and skill accumulation. AI can automate, augment or simplify tasks; simplification changes comparative advantage, while adoption costs reduce potential gains.",editorial_summary,https://hugoreichardt.com/pdf/tstc_compadvantage.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; priority-medium; Jones2026-reference; AI; skills; comparative advantage; adoption,theory,"Dynamic task-based general-equilibrium model with multidimensional skills, occupational choice and skill accumulation.","AI can automate, augment or simplify tasks; simplification changes comparative advantage, while adoption costs reduce potential gains.","Use to motivate heterogeneous labor, endogenous skill accumulation and adoption costs as extensions.",Scenario projections are not causal estimates of aggregate RSI growth or a calibration of our parameters.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Downloaded author version July 13, 2026, pp. 2-3 (PDF 3-4). Working paper, not a verified journal publication. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Límites y extensiones,Conclusiones: límites y futuras extensiones,,"Candidato, no añadido al manuscrito. Use to motivate heterogeneous labor, endogenous skill accumulation and adoption costs as extensions.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Downloaded author version July 13, 2026, pp. 2-3 (PDF 3-4). Working paper, not a verified journal publication. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,complementaria,
anthropiceconomicindex2026,manuscript_bibliography,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:177,no,,no,,no,,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:177,techreport,Anthropic,Anthropic Economic Index: Economic Primitives,2026,Anthropic,,,,,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,"The report introduces economic primitives for measuring AI use, including task complexity, human input, success, and interaction style. It compares multiple samples of Claude.ai conversations while warning that platform activity is not a representative sample of the economy.",editorial_summary,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,Anthropic,official_landing_page,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
autorkausik2026,manuscript_bibliography,yes,sections/02_literature.tex:63; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:974; sections_axm/02_literature.tex:85; sections_axm/03_model.tex:144; sections_rewrite/02_literature.tex:158,yes,sections_rewrite/02_literature.tex:158,no,,yes,sections_axm/02_literature.tex:85; sections_axm/03_model.tex:144,yes,sections/02_literature.tex:63; sections/02_literature.tex:122; sections/03_toy_model.tex:871; sections/03_toy_model.tex:974,misc,"Autor, David H. and Kausik, B. N.","Resolving the Automation Paradox: Falling Labor Share, Rising Wages",2026,arXiv:2601.06343,,,,10.48550/arXiv.2601.06343,https://arxiv.org/abs/2601.06343,https://doi.org/10.48550/arXiv.2601.06343,"A central socioeconomic concern about Artificial Intelligence is that it will lower wages by depressing the labor share - the fraction of economic output paid to labor. We show that declining labor share is more likely to raise wages. In a competitive economy with constant returns to scale, we prove that the wage-maximizing labor share depends only on the capital-to-labor ratio, implying a non-monotonic relationship between labor share and wages. When labor share exceeds this wage-maximizing level, further automation increases wages even while reducing labor's output share. Using data from the United States and eleven other industrialized countries, we estimate that labor share is too high in all twelve, implying that further automation should raise wages. Moreover, we find that falling labor share accounted for 16\% of U.S. real wage growth between 1954 and 2019. These wage gains notwithstanding, automation-driven shifts in labor share are likely to pose significant social and political challenges.",openalex_indexed_abstract,https://openalex.org/W7123910272,OpenAlex,original_relevant_passages_reviewed,,theory,"Análisis de salarios y participación laboral en una economía competitiva con rendimientos constantes, condicionado a la relación capital-trabajo.","La relación entre automatización, participación laboral y salario puede ser no monótona; una caída de la participación puede acompañar un salario mayor.",Antecedente directo de la distinción entre salario real y participación laboral.,"Nuestro proveedor monopolista, trayectoria de RSI y resultados de crecimiento no se deducen de ese teorema. No equiparar una estática condicionada a K/L con nuestro equilibrio dinámico.",,2026-09-17,Salarios y participación laboral,Sección 4: interpretación de salarios y participación; conclusiones: antecedentes,automation paradox; labor share; wage-maximizing labor share,Reconocer la coexistencia de salarios mayores y participación menor; no presentar nuestras derivadas CES como un caso particular sin demostrar la correspondencia.,"Original arXiv 2601.06343: Teorema 1 y su prueba, ecuaciones (1)–(5).","arXiv 2601.06343v1, enero de 2026",pasajes originales revisados,alta,Auditoría del 13-09-2026: Respaldada. El verbo «can» es apropiado. No afirmar que nuestro resultado es un caso particular del teorema 1: su familia de tecnologías y su ejercicio sobre la participación laboral difieren de nuestro equilibrio con tres insumos y desarrollador. Confianza registrada: High.
buenodemesquitaetal2026,manuscript_bibliography,no,,no,,no,,no,,no,,techreport,"Bueno de Mesquita, Ethan and Dziuda, Wioletta and Polborn, Mattias",The AGI Race and Existential Risk,2026,National Bureau of Economic Research,,35276,,10.3386/w35276,https://doi.org/10.3386/w35276,https://doi.org/10.3386/w35276,"Concerns about the race to artificial general intelligence often assume that competition and resources increase risk by accelerating development.We study a model in which firms allocate scarce resources between speed and safety.Speed increases a firm's chance of reaching AGI first but leaves fewer resources for safety; safety lowers doom risk but slows arrival.Fragmentation increases total speed and conditional doom risk by shifting a fixed industry resource pool toward speed.The model also identifies a critical market size: below it, firms have positive expected payoff from achieving AGI, while above it, firms race even though achieving AGI has negative expected value.More per-firm resources always accelerate expected arrival, but their effect on conditional doom risk changes sign at this cutoff.Policy affects risk by changing equilibrium incentives: consolidation, resource regulation, commitment devices, and cautious public entry can improve welfare in some environments.The results show that AGI risk depends not only on technical considerations, but also on market structure, resource constraints, and institutions that shape the equilibrium allocation between speed and safety.",openalex_indexed_abstract,https://openalex.org/W7162996137,OpenAlex,doi_metadata_matched,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
chatgptjones2026explosive,conversation_addition,no,,no,,no,,no,,no,,misc,ChatGPT 5.2 Pro via Chad Jones,"A.I., Automation, and Explosive Growth: A Condition for Finite-Time Blow-Up",2026,AI-generated research note hosted by Charles I. Jones,,,,,https://web.stanford.edu/~chadj/explosivegrowthChatGPT5.2.pdf,https://web.stanford.edu/~chadj/explosivegrowthChatGPT5.2.pdf,,unavailable,,"Bibliografía original de Davidson et al., mayo de 2026, pp. 44–46; metadatos de fuente primaria cuando están disponibles.",bibliographic_inventory_fulltext_pending,Davidson-reference-2026; inventory-completion; lectura-pendiente,AI-generated technical note,,,,,"La portada acredita ChatGPT 5.2 Pro via Chad Jones, 2 de enero de 2026. Procedencia revisada, prueba no auditada; no presentarlo como un teorema publicado de Jones.",2026-09-17,Crecimiento hiperbólico y singularidades,Candidato de contexto; no insertar sin lectura y aprobación,,Inventario completo de antecedentes de Davidson; no añadido al manuscrito.,,,procedencia revisada; prueba pendiente,pendiente,
chowhalperinmazlish2026,manuscript_bibliography,yes,sections_axm/02_literature.tex:41; sections_axm/03_model.tex:1648; sections_rewrite/02_literature.tex:192,yes,sections_rewrite/02_literature.tex:192,no,,yes,sections_axm/02_literature.tex:41; sections_axm/03_model.tex:1648,no,,unpublished,"Chow, Trevor and Halperin, Basil and Mazlish, J. Zachary","Transformative AI, Existential Risk, and Real Interest Rates",2026,,,,,,https://www.basilhalperin.com/papers/agi_emh.pdf,https://www.basilhalperin.com/research.html,The paper studies how the prospect of transformative AI affects long-term real interest rates. Its consumption-based asset-pricing mechanism predicts that either rapid future growth or existential risk reduces the value of future consumption relative to current consumption and therefore raises long-term real rates.,editorial_summary,https://www.basilhalperin.com/papers/agi_emh.pdf,authors,official_author_page,transformative AI; real interest rates; consumption smoothing; asset pricing; existential risk,theory and cross-country empirical analysis,Consumption-based asset-pricing model combined with cross-country evidence on long-term real rates and expected growth.,Transformative AI is predicted to raise long-term real interest rates because either future abundance or existential risk lowers the marginal value of future consumption.,Provides a direct precedent for the positive relation between AI-driven growth and the equilibrium real interest rate.,It studies expectations and long-maturity safe rates rather than the dated net marginal product of physical capital in the A×M equilibrium.,Working paper; first posted January 2023,2026-09-17,,,,,1–3,Borrador de junio de 2026; primera versión enero de 2023,pasajes originales revisados,,Auditoría del 13-09-2026: Respaldada. El argumento incluye además riesgo existencial y se condiciona a un modelo de precios de activos. No identifica cualquier tasa observada con nuestro retorno neto al capital. Confianza registrada: High.
danieli2026skills,conversation_addition,no,,no,,no,,no,,no,,article,"Danieli, Oren",Skill-Replacing Technology and Bottom-Half Inequality,2026,Review of Economic Studies,,,,10.1093/restud/rdag068,https://www.dropbox.com/scl/fi/i6lpe74nc4zyuq49g2mkw/full-paper.pdf?dl=1&rlkey=ug2csecbh60jgk0qbvbu5f7vw,https://doi.org/10.1093/restud/rdag068,Occupational-choice model and panel evidence allowing technology to replace skills within routine tasks. Skill-replacing technical change can generate nonmonotonic changes in bottom-half wage inequality.,editorial_summary,https://www.dropbox.com/scl/fi/i6lpe74nc4zyuq49g2mkw/full-paper.pdf?dl=1&rlkey=ug2csecbh60jgk0qbvbu5f7vw,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-medium; skill replacement; wage inequality; tasks,theory and/or empirical evidence,Occupational-choice model and panel evidence allowing technology to replace skills within routine tasks.,Skill-replacing technical change can generate nonmonotonic changes in bottom-half wage inequality.,Use to clarify that replacing a skill need not mean eliminating the whole worker or occupation.,Our single worker type cannot describe these within-occupation and distributional effects.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author manuscript January 15, 2026, pp. 2-3 (PDF 3-4), and published HTML introduction. ReStud advance access June 26, 2026; no issue/pages assigned in checked metadata. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Límites y extensiones,Conclusiones: límites y futuras extensiones,,"Candidato, no añadido al manuscrito. Use to clarify that replacing a skill need not mean eliminating the whole worker or occupation.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author manuscript January 15, 2026, pp. 2-3 (PDF 3-4), and published HTML introduction. ReStud advance access June 26, 2026; no issue/pages assigned in checked metadata. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,complementaria,
davidsonetal2026,manuscript_bibliography,yes,audit/archive/uncapped_section_before_persistent_investment.tex:181; sections_axm/01_introduction.tex:19; sections_axm/01_introduction.tex:42; sections_axm/01_introduction.tex:103; sections_axm/02_literature.tex:11; sections_axm/03_model.tex:259; sections_axm/03_model.tex:1715; sections_axm/04_growth_regimes.tex:260; sections_axm/04_growth_regimes.tex:632; sections_axm/04_growth_regimes.tex:700; sections_axm/04_growth_regimes.tex:1515; sections_axm/06_conclusion.tex:8; sections_axm/06_conclusion.tex:31; sections_axm/06_conclusion.tex:98; sections_rewrite/01_introduction.tex:13; sections_rewrite/02_literature.tex:22; sections_rewrite/02_literature.tex:48; sections_rewrite/03_model.tex:153; sections_rewrite/03_model.tex:247; sections_rewrite/03_model.tex:250; sections_rewrite/05_uncapped_equilibria.tex:209; sections_rewrite/05_uncapped_equilibria.tex:292; sections_rewrite/06_conclusion.tex:64,yes,sections_rewrite/01_introduction.tex:13; sections_rewrite/02_literature.tex:22; sections_rewrite/02_literature.tex:48; sections_rewrite/03_model.tex:153; sections_rewrite/03_model.tex:247; sections_rewrite/03_model.tex:250; sections_rewrite/05_uncapped_equilibria.tex:209; sections_rewrite/05_uncapped_equilibria.tex:292; sections_rewrite/06_conclusion.tex:64,no,,yes,sections_axm/01_introduction.tex:19; sections_axm/01_introduction.tex:42; sections_axm/01_introduction.tex:103; sections_axm/02_literature.tex:11; sections_axm/03_model.tex:259; sections_axm/03_model.tex:1715; sections_axm/04_growth_regimes.tex:260; sections_axm/04_growth_regimes.tex:632; sections_axm/04_growth_regimes.tex:700; sections_axm/04_growth_regimes.tex:1515; sections_axm/06_conclusion.tex:8; sections_axm/06_conclusion.tex:31; sections_axm/06_conclusion.tex:98,no,,techreport,"Davidson, Tom and Halperin, Basil and Houlden, Thomas and Korinek, Anton",When Does Automating AI Research Produce Explosive Growth? Feedback Loops in Innovation Networks,2026,National Bureau of Economic Research,,35155,,10.3386/w35155,https://thomas-houlden.com/assets/DHHK_May2026.pdf,https://www.nber.org/papers/w35155,"AI labs are increasingly using AI itself to accelerate AI research, creating a feedback loop that could lead to an intelligence explosion. We develop a general semi-endogenous growth model with an innovation network, where research and automation in one sector increase the productivity of research in other sectors, and derive a clean analytical condition under which growth becomes superexponential (``explosive''). We find that automating research can offset diminishing returns to ideas by activating two reinforcing channels: a technological feedback loop across research sectors, and an economic feedback loop in which higher output finances further research. Growth becomes explosive if the combined strength of technological and economic feedback loops overcomes diminishing returns. In a simple simulation calibrated to trends in AI progress, fully automating software research and modest (5%) automation in other sectors generates a singularity within six years. Bottlenecks do not overturn the result if task automation advances sufficiently fast.",source_abstract,https://www.nber.org/papers/w35155,NBER,original_relevant_passages_reviewed,AI research automation; innovation networks; feedback loops; spectral radius; explosive growth; compute,theory and calibrated simulation,Modelo de redes de innovación; clasifica el crecimiento mediante el radio espectral de una matriz de feedback. Su aplicación de referencia mantiene fijas las participaciones de ahorro y asignación de recursos.,"Los feedbacks tecnológico y económico pueden superar los rendimientos decrecientes y producir crecimiento hiperbólico, con divergencia en tiempo finito. Las complementariedades entre tareas pueden retrasar el crecimiento.",Antecedente directo de los dos feedback loops y de la discusión de 5.3. También denomina inference compute al cómputo que produce trabajo de IA en sectores de investigación.,"La tecnología es endógena, pero las reglas de asignación de su benchmark no son nuestras decisiones óptimas. Su teorema no prueba una singularidad ni la inexistencia de nuestro equilibrio. Su aplicación de 5.1 no modela explícitamente entrenamiento; no equiparar M con training compute.",,2026-09-17,Feedback tecnológico; Feedback económico; Cómputo e investigación; Crecimiento hiperbólico y singularidades; Cuellos de botella y transición,Introducción: dos feedback loops; sección 3: RSI y cómputo; sección 5.3: singularidad,technological feedback loop; economic feedback loop; inference compute; algorithmic progress; hyperbolic growth; finite-time singularity,Ya conectado en el tercer párrafo de la introducción y en 5.3. Precisión aprobada e incorporada en 3.4.1: U y M distinguen usos económicos; ejecutar sistemas de IA que investigan también requiere inference compute.,"Mayo de 2026: pp. 2–3; Proposición 1, p. 16; extensión económica, pp. 19–21; sección 4.2, p. 23; sección 5.1, pp. 28–29; cuellos de botella, pp. 40–42.","PDF de los autores, mayo de 2026",pasajes originales revisados,alta,"Auditoría del 13-09-2026: Respaldada. La p. 22 fija tasas de ahorro; la p. 39 fija participaciones de investigación y remite a GATE para endogeneizarlas. Las pp. 41–43 explican los cuellos de botella y condiciones de automatización que los superan. La comparación debe seguir referida a su aplicación, no negar toda endogeneidad tecnológica en el artículo. Confianza registrada: High."
