countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
ABW,Aruba,2019,20307.86328125,3765.761962890625,0.7180242538452148,0.9017560482025146
AGO,Angola,2019,1174152.875,236096.609375,0.20433863997459412,0.3521301746368408
AIA,Anguilla,2019,3364.373046875,327.9708251953125,0.6070473194122314,1.157548189163208
ALB,Albania,2019,231582.15625,40734.84375,0.26456522941589355,0.3780994415283203
ARE,United Arab Emirates,2019,4294786.5,752255.9375,0.26580509543418884,0.5556482076644897
ARG,Argentina,2019,4035455.0,1106826.125,0.3171018362045288,0.4045392870903015
ARM,Armenia,2019,164010.59375,51704.39453125,0.2430715709924698,0.26340681314468384
ATG,Antigua and Barbuda,2019,16001.7060546875,1957.5743408203125,0.4855518639087677,0.8812870979309082
AUS,Australia,2019,7240472.0,1502756.5,0.845067024230957,0.9167043566703796
AUT,Austria,2019,3128627.25,549661.875,0.5741174817085266,0.8059201240539551
AZE,Azerbaijan,2019,360851.9375,178794.984375,0.2624795138835907,0.26943838596343994
BDI,Burundi,2019,22611.150390625,12256.3935546875,0.26223674416542053,0.2748388648033142
BEL,Belgium,2019,3690956.5,605936.6875,0.519772469997406,0.8857795000076294
BEN,Benin,2019,97367.375,42041.625,0.2746889591217041,0.34229665994644165
BFA,Burkina Faso,2019,85137.9296875,47548.3984375,0.2642829120159149,0.33718931674957275
BGD,Bangladesh,2019,3731504.5,1043530.375,0.2275812029838562,0.3348955810070038
BGR,Bulgaria,2019,477210.59375,171166.84375,0.2949404716491699,0.4009772539138794
BHR,Bahrain,2019,424292.59375,87968.7734375,0.29340749979019165,0.4394027292728424
BHS,Bahamas,2019,77381.890625,12953.9052734375,0.5605432391166687,1.0048085451126099
BIH,Bosnia and Herzegovina,2019,173311.484375,53723.70703125,0.24647706747055054,0.38125815987586975
BLR,Belarus,2019,938820.5,237203.484375,0.25515615940093994,0.2715396583080292
BLZ,Belize,2019,11191.12109375,3948.260009765625,0.37598860263824463,0.6085079312324524
BMU,Bermuda,2019,11881.6240234375,3759.41064453125,0.9422301650047302,1.9746350049972534
BOL,Bolivia (Plurinational State of),2019,283571.6875,110598.5546875,0.23925013840198517,0.36976358294487
BRA,Brazil,2019,15489833.0,3518448.5,0.28513872623443604,0.5324187874794006
BRB,Barbados,2019,25161.486328125,3158.186279296875,0.5748420357704163,1.8327884674072266
BRN,Brunei Darussalam,2019,229846.9375,35759.4609375,0.2661281228065491,0.3766622543334961
BTN,Bhutan,2019,72202.859375,10745.384765625,0.1995706409215927,0.2545914947986603
BWA,Botswana,2019,161149.609375,40213.16015625,0.28761962056159973,0.4151875376701355
CAF,Central African Republic,2019,39371.8671875,5371.67822265625,0.2737688720226288,0.413520872592926
CAN,Canada,2019,9715520.0,1996845.75,0.7057037949562073,0.8732397556304932
CHE,Switzerland,2019,3202209.5,718392.0625,0.7951085567474365,1.0042105913162231
CHL,Chile,2019,1989420.75,495794.46875,0.42334112524986267,0.5610784292221069
CHN,China,2019,122076544.0,25413962.0,0.3726043701171875,0.5618945956230164
CIV,Côte d'Ivoire,2019,359762.625,157867.703125,0.2670230567455292,0.3824910521507263
CMR,Cameroon,2019,248801.078125,116528.3046875,0.2961367070674896,0.34044066071510315
COD,D.R. of the Congo,2019,484705.125,97892.6796875,0.34553101658821106,0.4833827018737793
COG,Congo,2019,209226.53125,34558.60546875,0.36597779393196106,0.40443289279937744
COL,Colombia,2019,2624349.0,797424.1875,0.35967904329299927,0.4050939083099365
COM,Comoros,2019,13305.9951171875,2895.488037109375,0.28281936049461365,0.4127178192138672
CPV,Cabo Verde,2019,22759.005859375,4955.49072265625,0.34619855880737305,0.4544811248779297
CRI,Costa Rica,2019,341018.78125,119441.71875,0.3706282079219818,0.5393229722976685
CUW,Curaçao,2019,,3934.68115234375,,0.7690899968147278
CYM,Cayman Islands,2019,17204.35546875,4433.072265625,0.7160347104072571,1.3403562307357788
CYP,Cyprus,2019,228436.5625,33417.95703125,0.3808155655860901,0.7839111089706421
CZE,Czechia,2019,2742330.75,471372.15625,0.3748389482498169,0.5447801351547241
DEU,Germany,2019,20058936.0,5001099.0,0.8043765425682068,0.7912675738334656
DJI,Djibouti,2019,17513.859375,6675.07177734375,0.3759192228317261,0.46274444460868835
DMA,Dominica,2019,3853.1484375,999.2296752929688,0.4310274124145508,0.6120083928108215
DNK,Denmark,2019,1776820.0,348037.46875,0.6800925135612488,0.9924259781837463
DOM,Dominican Republic,2019,994433.6875,225199.328125,0.25491103529930115,0.39494508504867554
DZA,Algeria,2019,2663982.5,581660.0625,0.2930620312690735,0.30840611457824707
ECU,Ecuador,2019,1198505.875,226698.546875,0.2869117856025696,0.4746206998825073
EGY,Egypt,2019,2491935.5,1611763.875,0.2433805912733078,0.20702753961086273
ESP,Spain,2019,12985419.0,2123809.75,0.41710683703422546,0.6608389616012573
EST,Estonia,2019,256818.640625,52125.515625,0.40040838718414307,0.611480712890625
ETH,Ethiopia,2019,708653.1875,281848.375,0.323712021112442,0.32841023802757263
FIN,Finland,2019,1561393.0,281572.53125,0.7331076860427856,0.9482985138893127
FJI,Fiji,2019,31553.775390625,12859.1591796875,0.2754529118537903,0.42338746786117554
FRA,France,2019,20935254.0,3453190.75,0.5564395189285278,0.7884862422943115
GAB,Gabon,2019,83836.4140625,38287.0234375,0.33508116006851196,0.44073429703712463
GBR,United Kingdom,2019,16212461.0,3327963.0,0.5396159291267395,0.8568025231361389
GEO,Georgia,2019,376275.3125,73538.8046875,0.16970036923885345,0.23994189500808716
GHA,Ghana,2019,546803.4375,189985.125,0.2923898696899414,0.35970166325569153
GIN,Guinea,2019,72458.7578125,40234.64453125,0.33031678199768066,0.3341127336025238
GMB,Gambia,2019,13202.0712890625,6517.6015625,0.3137477934360504,0.2782634496688843
GNB,Guinea-Bissau,2019,7766.1162109375,4304.92919921875,0.262702077627182,0.31715497374534607
GNQ,Equatorial Guinea,2019,127861.6953125,35150.99609375,0.32524317502975464,0.3232946991920471
GRC,Greece,2019,2619784.75,321808.96875,0.367631733417511,0.6441885232925415
GRD,Grenada,2019,7750.13037109375,1843.6553955078125,0.5208997130393982,0.6581951379776001
GTM,Guatemala,2019,665944.625,179998.15625,0.24988940358161926,0.428739458322525
GUY,Guyana,2019,,12085.8779296875,,0.42808306217193604
HKG,"China, Hong Kong SAR",2019,2563987.0,449856.4375,0.5728816390037537,0.8070897459983826
HND,Honduras,2019,266064.71875,60565.84765625,0.2456696331501007,0.4108293056488037
HRV,Croatia,2019,707138.875,129232.921875,0.2788710594177246,0.48336857557296753
HTI,Haiti,2019,271795.625,35096.5859375,0.28391700983047485,0.40076127648353577
HUN,Hungary,2019,1834316.5,322288.53125,0.33004456758499146,0.5117670893669128
IDN,Indonesia,2019,21104994.0,3422708.0,0.18115264177322388,0.32696327567100525
IND,India,2019,39333124.0,10471326.0,0.18288706243038177,0.27263012528419495
IRL,Ireland,2019,2164057.5,565250.6875,0.5063441395759583,0.7202553153038025
IRN,Iran (Islamic Republic of),2019,9252743.0,1326975.0,0.1862645298242569,0.23533320426940918
IRQ,Iraq,2019,1198175.0,562611.125,0.33790192008018494,0.41527101397514343
ISL,Iceland,2019,121956.7265625,21034.923828125,0.7647854089736938,1.1733505725860596
ISR,Israel,2019,1301774.875,348039.3125,0.8312643766403198,1.1519979238510132
ITA,Italy,2019,18839938.0,2799146.0,0.4353668987751007,0.7215082049369812
JAM,Jamaica,2019,187192.15625,26711.626953125,0.4604867994785309,0.5926543474197388
JOR,Jordan,2019,504134.65625,108629.4375,0.312572717666626,0.40967676043510437
JPN,Japan,2019,29447664.0,5486908.0,0.8870870471000671,0.9327645897865295
KAZ,Kazakhstan,2019,1508499.5,593499.0625,0.27754735946655273,0.3060951232910156
KEN,Kenya,2019,637607.1875,264962.21875,0.28089427947998047,0.37884053587913513
KGZ,Kyrgyzstan,2019,146832.34375,44114.6328125,0.20227369666099548,0.21243005990982056
KHM,Cambodia,2019,362850.75,102758.8515625,0.2021365910768509,0.3501714766025543
KNA,Saint Kitts and Nevis,2019,12767.4248046875,1387.871337890625,0.5094662308692932,0.7982407212257385
KOR,Republic of Korea,2019,13151834.0,2612106.0,0.4670562148094177,0.670357882976532
KWT,Kuwait,2019,848094.125,262155.25,0.32796069979667664,0.5373011827468872
LAO,Lao People's DR,2019,211606.328125,58587.96875,0.21514853835105896,0.31987130641937256
LBN,Lebanon,2019,777105.0,149978.015625,0.1843404620885849,0.3550478518009186
LBR,Liberia,2019,25231.689453125,10420.4189453125,0.26299652457237244,0.3034663200378418
LCA,Saint Lucia,2019,16637.46484375,3488.430908203125,0.4509570002555847,0.6006552577018738
LKA,Sri Lanka,2019,1034143.875,332869.53125,0.2159438580274582,0.2674170136451721
LSO,Lesotho,2019,28581.67578125,6017.94970703125,0.3002621531486511,0.3972618877887726
LTU,Lithuania,2019,434925.5625,105371.4609375,0.3651740550994873,0.5231214165687561
LUX,Luxembourg,2019,291549.71875,61454.0390625,0.5782114863395691,1.137280821800232
LVA,Latvia,2019,521957.59375,60712.98046875,0.38565364480018616,0.5451799631118774
MAC,"China, Macao SAR",2019,229520.828125,67401.1875,0.5182414054870605,0.8172302842140198
MAR,Morocco,2019,1439271.25,315212.65625,0.25994330644607544,0.40899455547332764
MDA,Republic of Moldova,2019,117109.4765625,42860.99609375,0.2689184844493866,0.2738339602947235
MDG,Madagascar,2019,114503.5,47928.37890625,0.28237032890319824,0.29428625106811523
MDV,Maldives,2019,77022.2109375,13083.0625,0.24185810983181,0.43767237663269043
MEX,Mexico,2019,11289543.0,2589388.25,0.45334455370903015,0.5036348104476929
MKD,North Macedonia,2019,172672.0625,38654.3828125,0.22367043793201447,0.32612958550453186
MLI,Mali,2019,80174.1640625,53216.91796875,0.30769890546798706,0.32471346855163574
MLT,Malta,2019,67207.1953125,21655.953125,0.42568325996398926,0.7544268369674683
