scenario,sigma_xl,group,equation,maximum_absolute_residual,tolerance,passes
equilibrium_sigma_0_75,0.75,algebraic identity,population_log_law,0.0,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,per_capita_consumption_identity,5.551115123125783e-17,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,production_log_identity,1.7763568394002505e-15,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,research_ces_log_identity,8.15347789284715e-13,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,ai_service_log_identity,0.0,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,ai_share_identity,2.7755575615628914e-16,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,inverse_elasticity_identity,0.0,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,capital_price_log_identity,4.440892098500626e-16,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,wage_log_identity,0.0,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,ai_price_log_identity,0.0,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,final_firm_zero_profit,3.3306690738754696e-16,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,household_budget,5.204170427930421e-16,1e-09,True
equilibrium_sigma_0_75,0.75,algebraic identity,monopoly_rent_identity,6.467659741105081e-12,1e-09,True
equilibrium_sigma_0_75,0.75,dynamic equation,capital_law,7.480180932474545e-08,2e-05,True
equilibrium_sigma_0_75,0.75,dynamic equation,capability_law,2.665552572070351e-09,2e-05,True
equilibrium_sigma_0_75,0.75,dynamic equation,consumption_euler_path,5.3154325014431736e-08,2e-05,True
equilibrium_sigma_0_75,0.75,dynamic equation,shadow_costate,4.100685268692422e-08,2e-05,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,resource_constraint,3.3306690738754696e-16,1e-08,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,labor_market,4.440892098500626e-16,1e-08,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,monopoly_foc_log,1.4071970255713495e-09,1e-08,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,human_research_foc_log,4.440892098500626e-13,1e-08,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,machine_research_foc_log,9.992007221626409e-16,1e-08,True
equilibrium_sigma_0_75,0.75,static equilibrium condition,euler_formula,0.0,1e-08,True
equilibrium_sigma_0_75,0.75,optimality inequality,monopoly_soc_on_path,0.07881207795863282,0.0,True
equilibrium_sigma_0_75,0.75,optimality inequality,monopoly_soc_full_domain,0.07420167926885671,0.0,True
equilibrium_sigma_0_75,0.75,interiority,positive_consumption_share,0.7372132616067435,0.0,True
equilibrium_sigma_0_75,0.75,interiority,positive_investment_share,0.18082311229167253,0.0,True
equilibrium_sigma_0_75,0.75,interiority,positive_compute_uses,9.80659564578773e-06,0.0,True
equilibrium_sigma_0_75,0.75,interiority,interior_ai_share,0.336383609261135,0.0,True
equilibrium_sigma_0_75,0.75,interiority,interior_human_research_share,0.0001582497070329955,0.0,True
equilibrium_sigma_0_75,0.75,interiority,inverse_demand_elasticity_below_one,0.0041715546253386915,0.0,True
equilibrium_sigma_0_75,0.75,terminal condition,terminal_consumption_share,5.264368052593227e-09,1e-06,True
equilibrium_sigma_0_75,0.75,terminal condition,terminal_profit_derivative_to_shadow,1.0202886382981724e-09,1e-06,True
equilibrium_sigma_1_00,1.0,algebraic identity,population_log_law,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,per_capita_consumption_identity,5.551115123125783e-17,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,production_log_identity,1.0658141036401503e-14,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,research_ces_log_identity,1.8474111129762605e-13,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,ai_service_log_identity,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,ai_share_identity,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,inverse_elasticity_identity,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,capital_price_log_identity,4.440892098500626e-16,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,wage_log_identity,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,ai_price_log_identity,0.0,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,final_firm_zero_profit,6.661338147750939e-16,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,household_budget,3.316791286067655e-15,1e-09,True
equilibrium_sigma_1_00,1.0,algebraic identity,monopoly_rent_identity,3.0531133177191805e-16,1e-09,True
equilibrium_sigma_1_00,1.0,dynamic equation,capital_law,1.4688642941722979e-05,2e-05,True
equilibrium_sigma_1_00,1.0,dynamic equation,capability_law,7.504261326143208e-08,2e-05,True
equilibrium_sigma_1_00,1.0,dynamic equation,consumption_euler_path,8.809567042310923e-06,2e-05,True
equilibrium_sigma_1_00,1.0,dynamic equation,shadow_costate,8.172736285214088e-06,2e-05,True
equilibrium_sigma_1_00,1.0,static equilibrium condition,resource_constraint,3.3306690738754696e-16,1e-08,True
equilibrium_sigma_1_00,1.0,static equilibrium condition,labor_market,1.7763568394002505e-15,1e-08,True
equilibrium_sigma_1_00,1.0,static equilibrium condition,monopoly_foc_log,2.1316282072803006e-14,1e-08,True
equilibrium_sigma_1_00,1.0,static equilibrium condition,human_research_foc_log,1.3210765814619663e-11,1e-08,True
