sigma_xl,step,last_year,stop_reason,tail_capability_growth,tail_output_per_capita_growth,tail_net_capital_return,capability_growth_difference_from_half_year,output_growth_difference_from_half_year,net_return_difference_from_half_year
0.75,0.5,200.0,horizon,0.01558091829364084,0.0019492113994549188,0.04090063049602332,0.0,0.0,0.0
0.75,1.0,200.0,horizon,0.015581938783060467,0.0019500522044698682,0.04090147718996354,1.0204894196272352e-06,8.40805014949448e-07,8.466939402165807e-07
0.75,2.0,200.0,horizon,0.015583981610639263,0.0019518689430853694,0.040903164831412514,3.0633169984233682e-06,2.657543630450645e-06,2.5343353891940645e-06
0.75,5.0,200.0,horizon,0.015590114412912056,0.0019583570091173154,0.040908199113964545,9.196119271215678e-06,9.145609662396638e-06,7.568617941225431e-06
0.99,0.5,200.0,horizon,0.015893644475571286,0.004159054089366659,0.043700490599313684,0.0,0.0,0.0
0.99,1.0,200.0,horizon,0.01589443549851197,0.004159333337096615,0.043700887403535484,7.910229406840608e-07,2.792477299560711e-07,3.9680422179999564e-07
0.99,2.0,200.0,horizon,0.015896018539040557,0.00415993974176677,0.04370168081014674,2.3740634692709373e-06,8.856524001113128e-07,1.1902108330574812e-06
0.99,5.0,200.0,horizon,0.015900769714991908,0.004162130699156722,0.04370406126313671,7.1252394206224035e-06,3.076609790063356e-06,3.570663823025677e-06
1.0,0.5,200.0,horizon,0.0159423145846962,0.0042065183165867735,0.043750933948287114,0.0,0.0,0.0
1.0,1.0,200.0,horizon,0.01594309371633379,0.004206783185131987,0.04375132661116814,7.791316375890811e-07,2.6486854521386854e-07,3.9266288102274283e-07
1.0,2.0,200.0,horizon,0.01594465166997095,0.004207356012375646,0.04375211210454211,2.3370852747506277e-06,8.376957888727582e-07,1.1781562549925684e-06
1.0,5.0,200.0,horizon,0.01594933218745843,0.004209406379815357,0.043754469367465805,7.01760276223054e-06,2.888063228583329e-06,3.535419178690713e-06
1.01,0.5,200.0,horizon,0.015990776313196,0.004254642868629996,0.043801619246108786,0.0,0.0,0.0
1.01,1.0,200.0,horizon,0.015991543475928904,0.004254894812930398,0.043802009184926716,7.671627329057518e-07,2.519443004014854e-07,3.899388179295915e-07
1.01,2.0,200.0,horizon,0.01599307892230793,0.004255435847716117,0.043802788867869355,2.3026091119301983e-06,7.929790861206654e-07,1.1696217605688952e-06
1.01,5.0,200.0,horizon,0.015997687407047895,0.004257348264424833,0.04380513063744508,6.91109385189681e-06,2.705395794836557e-06,3.5113913362944116e-06
1.05,0.5,200.0,horizon,0.01617881655783874,0.004461385281279566,0.044017540262386676,0.0,0.0,0.0
1.05,1.0,200.0,horizon,0.016179538555046936,0.004461598620590756,0.04401793670583743,7.219972081966286e-07,2.1333931119003197e-07,3.9644345075501297e-07
1.05,2.0,200.0,horizon,0.016180983090540564,0.00446203629461309,0.04401873007725126,2.166532701824986e-06,6.51013333524339e-07,1.1898148645841933e-06
1.05,5.0,200.0,horizon,0.016185320162220622,0.004463444704783124,0.0440211167478406,6.503604381882799e-06,2.059423503558179e-06,3.576485453925249e-06
1.1,0.5,200.0,horizon,0.01639477394546918,0.0047690742818079284,0.04434093878346697,0.0,0.0,0.0
1.1,1.0,200.0,horizon,0.016395446985533645,0.004769283831604945,0.04434140317483941,6.730400644652801e-07,2.0954979701622023e-07,4.643913724400317e-07
1.1,2.0,200.0,horizon,0.01639679359292644,0.004769674729890673,0.044342333478874923,2.019647457260354e-06,6.004480827444258e-07,1.3946954079552265e-06
1.1,5.0,200.0,horizon,0.01640083570269201,0.004770637736624806,0.04434513472589971,6.061757222831227e-06,1.5634548168773008e-06,4.195942432741462e-06
2.0,0.5,196.0,acceleration_cutoff,0.02546916785400389,0.07691143902460623,0.11540778106293505,0.0,0.0,0.0
2.0,1.0,196.0,acceleration_cutoff,0.025695498540805536,0.07811338597755076,0.11700951159628664,0.00022633068680164709,0.0012019469529445242,0.0016017305333515947
2.0,2.0,196.0,acceleration_cutoff,0.02617746714336331,0.08004726122644659,0.12038716600293008,0.0007082992893594209,0.0031358222018403603,0.00497938493999503
2.0,5.0,200.0,acceleration_cutoff,0.2894319181803368,0.22068766692767142,1.5978094157081977,0.26396275032633293,0.14377622790306518,1.4824016346452626
