scenario,feedback_case,initial_case,sigma_xl,sigma_hm,phi,eta,d_cd,d_ai,initial_capital,initial_capability,requested_horizon,step,last_year,stop_reason,terminal_capability_growth,terminal_output_per_capita_growth,terminal_consumption_per_capita_growth,terminal_wage_growth,terminal_capital_growth,terminal_net_capital_return,terminal_euler_gap,terminal_ai_production_share,terminal_automated_research_share,tail_capability_growth,tail_output_per_capita_growth,tail_consumption_per_capita_growth,tail_wage_growth,tail_capital_growth,tail_net_capital_return,tail_euler_gap,tail_ai_production_share,tail_automated_research_share,tail_human_research_population_share,tail_consumption_output_ratio,tail_capability_growth_slope,tail_output_per_capita_growth_slope,tail_net_capital_return_slope,low_sigma_theoretical_ai_share,low_sigma_ai_share_gap,low_sigma_fixed_share_capability_growth,low_sigma_fixed_share_capability_growth_gap,low_sigma_optimizing_candidate_capability_growth,low_sigma_optimizing_candidate_research_input_growth,log_scaled_output_capital,max_abs_monopoly_foc_log_error,max_abs_research_mix_log_error,minimum_consumption_output_ratio,max_abs_euler_gap
stable_sigma_0.750_baseline,stable,baseline,0.75,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,2000.0,horizon,0.015428489929724601,2.230854390106174e-15,1.8318679906315083e-15,1.7763568394002505e-15,0.012000000000002793,0.03764852255054828,-0.0023514774494535554,0.33222591362127757,0.12659992451356003,0.015428463314037176,3.798228071929924e-15,3.521964854834167e-15,4.284154730318251e-15,0.012000000000004882,0.03764852255055123,-0.0023514774494522933,0.3322259136213019,0.12659992451355276,0.07302967557337167,0.761458396812506,5.835320544475553e-10,-4.4408920985006264e-17,-9.034439862887211e-17,0.33222591362126247,1.509903313490213e-14,0.01542857142857143,-8.149884682916164e-08,0.00675,0.0052499999999999995,-64.38422150425299,0.12329532008553201,9.98785803396629e-07,0.7224096994000233,0.019536670663738327
stable_sigma_0.990_baseline,stable,baseline,0.99,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,2000.0,horizon,0.019761080063006514,0.003326516071763052,0.003331332623856209,0.0033598896913247245,0.015339071084813749,0.042368920087240594,-0.0009624125366156158,0.1463763867962012,0.9947970502614853,0.01979281413265053,0.0033694659769991616,0.003374387689931706,0.003403241028078891,0.015382779831261703,0.04243071052350994,-0.0009436771664217703,0.14781831322990435,0.9938118942802463,5.572510481685146e-05,0.7525019981417698,-5.97859802588703e-07,-8.654201087043844e-07,-1.2322382012050493e-06,0.014852220406950853,0.13152416638925035,0.01542857142857143,0.004332508634435083,0.00675,0.0052499999999999995,-72.35512958034076,9.947598300641403e-14,9.952369417476348e-07,0.7433383322503089,0.001124557369454847
stable_sigma_1.000_baseline,stable,baseline,1.0,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,2000.0,horizon,0.022618006209670055,0.005653035004034478,0.005653035004034912,0.005652994690837687,0.017650957632334013,0.04563720138070236,-1.583362333255206e-05,0.2,0.9992566926758543,0.02258665619948298,0.005645010907507192,0.005645010907506754,0.005644957087797368,0.0176422469325118,0.0456248871876411,-2.012371986565186e-05,0.2,0.9990007668622576,9.534586664907144e-06,0.7435023968125148,6.739680053005626e-07,1.7400380467158527e-07,2.6454087249369596e-07,nan,nan,nan,nan,nan,nan,-76.82903713349813,9.947598300641403e-14,9.99327554040974e-07,0.7435023968125131,0.00085340273444829
stable_sigma_1.010_baseline,stable,baseline,1.01,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,2000.0,horizon,0.031073912422820753,0.013111121618376586,0.013077014923259078,0.0129805822317266,0.024973693890967597,0.055989249995162596,0.002912235071903517,0.2945011087699039,0.9999872294403864,0.030437870850330746,0.01258293849511983,0.012550535444068108,0.012457675111204606,0.024444422558779162,0.055241026603313,0.002690491159244893,0.29000300640816973,0.9999743479576279,2.751678979508284e-07,0.722336214018832,1.2448468461579744e-05,1.0407037158710608e-05,1.4601205660780963e-05,nan,nan,nan,nan,nan,nan,-85.87088924895039,9.947598300641403e-14,9.98955540287838e-07,0.721146616823683,0.002912235071903517
stable_sigma_1.050_baseline,stable,baseline,1.05,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,1086.0,acceleration_cutoff,0.43649858974034267,0.6155271011633165,0.6040034942112911,0.5826919713811662,0.5669443042114362,0.822165431614612,0.17816193740332087,0.6880032605437584,0.9999999311950619,0.09448895941257333,0.11479733302734962,0.11269786740678647,0.10886310721928943,0.10811985971051093,0.17353180789557454,0.020833940488788064,0.5252090201663152,0.9994142542472794,8.434645945211478e-06,0.6280954300926889,0.003935216031994439,0.005801813475442516,0.007389688559444957,nan,nan,nan,nan,nan,nan,-55.75650073232313,9.947598300641403e-14,9.973735386470395e-07,0.542123751757223,0.17816193740332087
stable_sigma_1.100_baseline,stable,baseline,1.1,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,744.0,acceleration_cutoff,0.4711646349600216,0.8608064227236292,0.8337423785598732,0.7702891220624037,0.8203278627627552,1.180370182350458,0.30662780379058474,0.8099346810902635,0.9999929506749783,0.06632341690748275,0.10853231864845009,0.10484495346685596,0.09751043002477362,0.09814859374257388,0.1594355703141519,0.014590616847295923,0.5711293331766701,0.9800430079582395,0.00031997493708446737,0.5973053226870749,0.0044501684114685025,0.008360612757559269,0.011113419198397544,nan,nan,nan,nan,nan,nan,-33.65473467355143,9.85878045867139e-14,9.950394919133743e-07,0.4576062304735621,0.30662780379058474
stable_sigma_1.500_baseline,stable,baseline,1.5,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,282.0,acceleration_cutoff,0.1616268137897667,0.6610064444813726,0.6416431243567144,0.4040831171985544,0.5848609896873002,0.847493996307552,0.16585087195083748,0.9701305140251567,0.9855293875823947,0.027543447654675556,0.08621744450736872,0.07946752479311421,0.05352505116767534,0.07699245991982971,0.1295274433392305,0.010059918546116296,0.6191673883168485,0.5471254515810706,0.018195140985372088,0.5298795044736119,0.001441113320050232,0.00645463049217,0.007913559872776787,nan,nan,nan,nan,nan,nan,-11.336689032508755,9.992007221626409e-14,9.91773591252354e-07,0.3325031219875775,0.16585087195083748
stable_sigma_2.000_baseline,stable,baseline,2.0,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,1.0,2000.0,2.0,196.0,acceleration_cutoff,0.11551162628425743,0.6069340473410141,0.5974553348706566,0.2628008601392633,0.54034628514027,0.7845641884797908,0.14710885360913417,0.9893011899787417,0.88035493324825,0.02617746714336331,0.08004726122644659,0.07226491907852213,0.03470121207531445,0.07052689520339278,0.12038716600293008,0.008122246924407944,0.5244146057992505,0.35336265570936976,0.04044366283667202,0.5470446370694717,0.0009636780654444062,0.0059910202429436284,0.007381913525338669,nan,nan,nan,nan,nan,nan,-8.145155117299172,9.992007221626409e-14,9.970062240238775e-07,0.318566649581856,0.14710885360913417
near_ai_boundary_sigma_1.000_baseline,near_ai_boundary,baseline,1.0,2.0,0.8675,0.45,0.09312499999999996,0.01999999999999995,2.5093528013468305,1.0,2000.0,2.0,1188.0,numerical_failure:ValueError,0.2206279493790545,0.054842331510962086,0.05484233151095985,0.05484233151090123,0.06645953626072124,0.11463719822860903,0.019794866717649184,0.2,0.9999999998888693,0.21004910797865833,0.052197000781663776,0.05219700078166415,0.05219700077965396,0.06368768976810549,0.11071867807030776,0.01852167728864361,0.2,0.9999999958189801,3.9854323883519455e-11,0.7435023968125148,0.00022138690383167236,5.584793796245435e-05,8.19121751165744e-05,nan,nan,nan,nan,nan,nan,-206.64010270578183,9.992007221626409e-14,9.992866445429627e-07,0.743502396812513,0.019794866717649184
near_ai_boundary_sigma_1.050_baseline,near_ai_boundary,baseline,1.05,2.0,0.8675,0.45,0.09312499999999996,0.01999999999999995,2.5093528013468305,1.0,2000.0,2.0,526.0,acceleration_cutoff,0.573171085887025,0.4692080426598122,0.4600548964046842,0.4435111710183648,0.4009694811595951,0.5875291732100651,0.08747427680538089,0.551429864799665,0.9999160238963616,0.11697799183380408,0.08239135925456981,0.08094197640290014,0.0780286373822279,0.07721968421803803,0.12984866711383602,0.008906690710935881,0.38807911931086336,0.9557623278675461,0.0005597688613904225,0.6848763934787658,0.005251657283503848,0.0044617296097675665,0.00520521396325875,nan,nan,nan,nan,nan,nan,-47.17078835202905,9.992007221626409e-14,9.946314862840921e-07,0.6170673746989402,0.08747427680538089
