scenario,time,log_capital,log_capability,log_population,log_output,log_wage,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,human_research_share,ai_share,automated_research_share,inverse_demand_elasticity,inference_share,consumption_share,gross_capital_return,net_capital_return,capital_output_ratio,monopoly_foc_log_error,research_mix_log_error,automation_share_cost_error,capital_growth,capability_growth,output_growth,output_per_capita_growth,wage_growth,production_labor_growth,ai_service_growth,capital_deepening_wage_contribution,ai_substitution_wage_contribution,wage_growth_identity,production_labor_income_share,aggregate_labor_income_share,production_labor_share_growth,aggregate_labor_share_growth,ai_displacement_share_contribution,research_reallocation_share_contribution,production_labor_share_growth_identity,aggregate_labor_share_growth_identity,log_output_per_capita,log_capital_per_production_worker,log_ai_services_per_production_worker,log_human_to_automated_research_ratio,log_automated_research_per_capita,human_research_population_share_growth,human_research_population_share_growth_identity,capital_return_growth,consumption_per_capita_growth,euler_implied_net_return,euler_gap
sigma_hm1_sigma_xl0_5,0.0,0.9200248718261719,0.0,0.0,-0.5225817320767668,-2.2675954384265995,-2.5595329983076924,-2.5595329983076924,-2.9126481828891855,-0.05586336233254493,-5.799282440587239,-3.9229701730835043,0.05433165902064822,0.7535015323836514,0.35,0.7416524409193023,0.1304257387087833,0.6310326581037317,0.07798262539709892,0.02798262539709892,4.231711850166519,-9.658940314238862e-14,-3.8913476929636204e-07,-8.852816529847374e-08,0.00516262720608867,0.022736842105263156,0.015347847799969339,0.0033478477999693383,0.010790139114526198,0.012426780379111685,0.022876854651250333,-0.002397170547097595,0.013149825452557667,0.010752654905460072,0.16515397330295356,0.17464259523790024,0.00786907169366824,0.007442291314556648,0.007874146977579441,-0.0004267803791116846,0.007874146977579441,0.007447366598467757,-0.5225817320767668,0.9758882341587168,-2.5036696359751476,2.886634257698054,-5.799282440587239,-0.007442940079872784,-0.00744229131455686,0.010185220593880669,0.0064718365971190295,0.04647183659711903,-0.01848921120002011
sigma_hm1_sigma_xl0_5,0.5,0.9226758216916361,0.011356478321389167,0.006000000000000001,-0.5149078081767822,-2.2622003688693364,-2.5480945709820673,-2.5594510493034566,-2.910369652929122,-0.049649972142989086,-5.791608516687255,-3.9188032552444683,0.05412984114189779,0.7525297648531596,0.35,0.7432752926952235,0.12943929902543927,0.6320190977870757,0.07837531551009348,0.02837531551009348,4.210509365764548,5.410602521571661e-15,-7.135174273642519e-07,-1.6232523203374427e-07,0.00544040470075919,0.022689152678215016,0.015377566935905529,0.0033775669359055287,0.010800430216399093,0.01242475330143477,0.02285304496713314,-0.0023048350382229416,0.013105491791263624,0.010800656753040682,0.16580505754838307,0.17529367640538585,0.00784761658192834,0.007422863280493575,0.007847599875008158,-0.00042475330143476944,0.007847599875008158,0.007422846573573389,-0.5209078081767822,0.9723257938346251,-2.498444598839078,2.8812388637581328,-5.797608516687255,-0.007422078973955859,-0.007422863280493564,0.00993716223514634,0.006493384568514005,0.046493384568514005,-0.018118069058420526
sigma_hm1_sigma_xl0_5,1.0,0.9254645055051173,0.022689245274248215,0.012000000000000002,-0.5072041651408613,-2.2567950082102004,-2.5366799533405593,-2.5593691986148075,-2.9080702618631413,-0.04343860903111016,-5.783904873651334,-3.914612375989009,0.0539298979521251,0.7515594967127913,0.35,0.7448956404896385,0.12845648970870768,0.6330019071038072,0.07876147519205087,0.02876147519205087,4.189865656976747,-5.540706782269922e-15,3.951717686412337e-07,8.990157196464565e-08,0.005713562759613544,0.022641995319181065,0.015436217318754775,0.0034362173187547744,0.010819947697005006,0.012420818089682435,0.022805267356614145,-0.002213394258922734,0.013033567546040166,0.010820173287117431,0.1664551372024298,0.1759437665793676,0.0078045484679332144,0.007383730378250686,0.007804531464694711,-0.000420818089682435,0.007804531464694711,0.007383713375012276,-0.5192041651408613,0.9689031145362275,-2.493241344309449,2.8758346117881928,-5.795904873651334,-0.007382145167153631,-0.007383730378250231,0.00972265455914123,0.006535603772635845,0.046535603772635846,-0.017774128580584976
sigma_hm1_sigma_xl0_5,1.5,0.9283886147981584,0.033998560035643305,0.018000000000000002,-0.4994715908580274,-2.2513804211723314,-2.525289303625453,-2.5592878636610963,-2.9057517980962757,-0.03722915405330665,-5.7761722993685,-3.910398973541554,0.05373171810574697,0.7505908149362178,0.35,0.7465133390565163,0.12747738880672693,0.6339810080057879,0.07914110898448648,0.029141108984486477,4.1697671947544706,2.6117996654306808e-14,8.716936688024646e-07,1.9831028369443615e-07,0.005982104595186798,0.0225953504510735,0.015493234484549312,0.0034932344845493117,0.010837399698826466,0.012417016973006564,0.02275709142783544,-0.0021235210846805228,0.01296114540229046,0.010837624317609937,0.16710415399273404,0.17659278789121263,0.007761182187284055,0.007344165214277387,0.007761164911551175,-0.00041701697300656343,0.007761164911551175,0.0073441479385446115,-0.5174715908580274,0.965617768851465,-2.4880601495721466,2.870420501272224,-5.794172299368499,-0.007343984613907839,-0.007344165214277155,0.009511129889362514,0.006576019572048564,0.046576019572048565,-0.017434910587562087
sigma_hm1_sigma_xl0_5,2.0,0.931445842011647,0.045284676934541176,0.024000000000000004,-0.491710930656312,-2.245957608511374,-2.513922861912724,-2.559207538847265,-2.903414246477049,-0.031021592058103595,-5.768411639166785,-3.9061633339184563,0.053535288388192805,0.7496238027839789,0.35,0.7481282493507553,0.12650206988882093,0.634956326923694,0.07951422065223228,0.029514220652232276,4.150201024333823,-4.5755066402364264e-14,5.757721379673342e-07,1.3098815004886077e-07,0.00624603287061095,0.022549210399104493,0.015548565316264973,0.0035485653162649726,0.010852860832201827,0.012413245998096734,0.022708441996807327,-0.002035180332070309,0.01288826503818293,0.010853084706112622,0.16775205213473413,0.17724068322532205,0.007717541514033144,0.0073042955159365874,0.007717523974959838,-0.0004132459980967333,0.007717523974959838,0.007304277976863105,-0.515710930656312,0.9624674340697507,-2.4829012698546205,2.8649973926897356,-5.792411639166785,-0.007305793918895631,-0.007304295515936855,0.009302532445654023,0.0066145893342617335,0.046614589334261734,-0.01710036868202946
sigma_hm1_sigma_xl0_5,2.5,0.9346338805046371,0.05654785037868093,0.030000000000000006,-0.4839230255417624,-2.2405275603401296,-2.502580861628646,-2.5591287120073267,-2.9010575920151713,-0.024815908055209918,-5.760623734052235,-3.9019057417281435,0.05334059571581317,0.748658542591061,0.35,0.7497402338729281,0.12553060489116816,0.6359277919213467,0.07988081796472489,0.029880817964724887,4.13115449250566,5.595524044110789e-14,-6.267092897971338e-07,-1.4257637681591717e-07,0.006505353081758085,0.022503567575560622,0.01560209896977316,0.003602098969773159,0.010866458542523993,0.012409302101713694,0.022659160313788007,-0.001948303176585351,0.012814985331063677,0.010866682154478327,0.1683987764639891,0.17788739614468124,0.0076736616744641495,0.007264359572750623,0.007673643910816574,-0.0004093021017136933,0.007673643910816574,0.007264341809102881,-0.5139230255417624,0.9594497885598471,-2.477764953573436,2.8595661420370635,-5.790623734052235,-0.007263961448090939,-0.007264359572750834,0.009096745888015074,0.006651217271572696,0.0466512172715727,-0.01677039930684781
sigma_hm1_sigma_xl0_5,3.0,0.9379504275865983,0.06778832905193316,0.036000000000000004,-0.47610883168653884,-2.23509114996885,-2.491263701598936,-2.559052030650869,-2.89867820792514,-0.018612289956389902,-5.752809540197012,-3.8976241742202955,0.05314781910194498,0.7476951099513289,0.35,0.7513491663812807,0.12456305829595574,0.6368953385165592,0.08024090282814388,0.030240902828143873,4.112615740463167,7.788214517745473e-14,9.73896797873408e-07,2.2156148921093077e-07,0.006760066577003863,0.022458437828538156,0.015654024048428195,0.0036540240484281943,0.010878049280550695,0.012405490174101926,0.02260951216824436,-0.0018629897870423605,0.012741260569249699,0.010878270782207338,0.1690442763326096,0.17853291120085632,0.007629515406224474,0.007224025232122511,0.007629497346856107,-0.00040549017410192525,0.007629497346856107,0.007224007172754182,-0.5121088316865389,0.9565627175429882,-2.4726514116425458,2.8541313322718715,-5.788809540197011,-0.0072239043571475925,-0.0072240252321225,0.008893957471424331,0.006686082225535905,0.046686082225535906,-0.016445179397392033
sigma_hm1_sigma_xl0_5,3.5,0.9413931844731519,0.07900636082881138,0.042,-0.4682690014933342,-2.229649511059579,-2.4799713494604014,-2.558977710289213,-2.896281496372319,-0.012410417881107992,-5.744969710003807,-3.8933223711433396,0.05295665679268503,0.7467335951991558,0.35,0.7529548960174097,0.12359950871108216,0.6378588881014328,0.08059450479724184,0.030594504797241837,4.094571966540497,6.480926906249351e-14,-5.058343144348498e-07,-1.1507731534354804e-07,0.007010194262515396,0.022413778775602623,0.01570429194196138,0.003704291941961379,0.010887708240899574,0.01240170960318357,0.022559425419989232,-0.0017792000624204975,0.012667129776994019,0.010887929714573521,0.16968849121656557,0.17917711204419445,0.007585125902121792,0.00718341629893815,0.007585107650894622,-0.00040170960318356916,0.007585107650894622,0.007183398047711053,-0.5102690014933342,0.9538036023542599,-2.4675609315792935,2.848688213631488,-5.786969710003807,-0.0071838159095114484,-0.007183416298938195,0.008694097679445983,0.006719145887186473,0.046719145887186474,-0.016124641089944637
sigma_hm1_sigma_xl0_5,4.0,0.9449598583544988,0.09020218991167117,0.048,-0.46040453974457746,-2.2242034417279504,-2.4687042761789466,-2.558906466090618,-2.8938620238346515,-0.0062105803532063325,-5.73710524825505,-3.888997152381791,0.05276738308079731,0.7457740691368111,0.35,0.7545573045415255,0.1226400144804169,0.638818382332098,0.08094162827937525,0.030941628279375244,4.0770121260840435,4.418687638008123e-14,5.742862243529601e-07,1.306501049014308e-07,0.0072557392559277,0.022369618067327738,0.015752853356929164,0.0037528533569291637,0.010895511231709953,0.01239785758337477,0.022508824503648217,-0.0016968990480575334,0.012592629894876832,0.010895730846819298,0.17033137367833653,0.17982000475482518,0.0075405154581558165,0.007142657874781078,0.007540496943040019,-0.0003978575833747701,0.007540496943040019,0.007142639359665249,-0.5084045397445774,0.9511704387077051,-2.4624936958257404,2.8432432244203985,-5.78510524825505,-0.007141891562133296,-0.00714265787478079,0.008497114101001464,0.006750368914169469,0.04675036891416947,-0.015808740634794226
sigma_hm1_sigma_xl0_5,4.5,0.9486481645310407,0.10137605398300831,0.054,-0.45251614813640506,-2.218753999827869,-2.457462524956753,-2.5588385789397616,-2.891423387934452,-1.2560297733221759e-05,-5.729216856646877,-3.884651101983801,0.052579793452807735,0.7448166175420659,0.35,0.7561562487047501,0.12168464829249413,0.6397737485200208,0.08128230496790714,0.03128230496790714,4.059924237265351,-1.0769163338864018e-14,2.6047833223685757e-07,5.9258818296825666e-08,0.007496723976198334,0.022325925288084768,0.015799839754883083,0.0037998397548830824,0.010901372666886733,0.01239413688445476,0.02245789069686044,-0.0016161462597246204,0.012517737294134551,0.01090159103440993,0.17097286624681587,0.1804614943456977,0.007495669796458326,0.007101532912003439,0.007495651074332068,-0.0003941368844547592,0.007495651074332068,0.007101514189877309,-0.5065161481364051,0.948660724828774,-2.4574499646590198,2.837793468712425,-5.783216856646877,-0.0071017432424986815,-0.00710153291200365,0.008303115778684748,0.006779878196570888,0.04677987819657089,-0.015497573228663748
