population_growth,sigma_xl,investment_share,minimum_wage_change_pct,minimum_wage_growth_pct
0.01,4.0,0.1,-13.780343896577685,-0.5314653341043418
0.01,4.0,0.125,-4.371393279414715,-0.18735639829260964
0.01,4.0,0.15,0.0,0.028188567514900176
0.01,4.0,0.175,0.0,0.055833416439875216
0.01,4.0,0.2,0.0,0.07521422792975963
0.01,4.0,0.225,0.0,0.09110511590410819
0.01,4.0,0.23343234323432344,0.0,0.09592138538056516
0.01,4.0,0.25,0.0,0.10484535127696926
0.01,4.0,0.275,0.0,0.11721389479951716
0.015,4.0,0.1,-17.007176939066547,-0.6899306448899301
0.015,4.0,0.125,-7.852350105592166,-0.34474954450900985
0.015,4.0,0.15,-0.052412652943434335,-0.004313553235005263
0.015,4.0,0.175,0.0,0.04446946878235436
0.015,4.0,0.2,0.0,0.06675206472327999
0.015,4.0,0.225,0.0,0.08411980268151209
0.015,4.0,0.23343234323432344,0.0,0.08934357156015205
0.015,4.0,0.25,0.0,0.09894382426431092
0.015,4.0,0.275,0.0,0.11207027329428465
0.02,4.0,0.1,-19.902448120395622,-0.8483708358440867
0.02,4.0,0.125,-11.013281622685412,-0.5021121825982883
0.02,4.0,0.15,-3.1881997265311934,-0.16062947679601203
0.02,4.0,0.175,0.0,0.030262871185193774
0.02,4.0,0.2,0.0,0.05703563496592956
0.02,4.0,0.225,0.0,0.07630595185816325
0.02,4.0,0.23343234323432344,0.0,0.08190588368603147
0.02,4.0,0.25,0.0,0.09215252297191112
0.02,4.0,0.275,0.0,0.10606384033696736
0.025,4.0,0.1,-22.516394176511923,-1.0067857843711336
0.025,4.0,0.125,-13.8828825126031,-0.6594463416254803
0.025,4.0,0.15,-6.218388795821417,-0.3169118029770879
0.025,4.0,0.175,0.0,0.008232964406056087
0.025,4.0,0.2,0.0,0.0456508331386718
0.025,4.0,0.225,0.0,0.0675867574717326
0.025,4.0,0.23343234323432344,0.0,0.07366541996248754
0.025,4.0,0.25,0.0,0.08473386015589446
0.025,4.0,0.275,0.0,0.0996086862345924
0.03,4.0,0.1,-24.8883453734141,-1.1651764567052636
0.03,4.0,0.125,-16.5002218718898,-0.8167508563084652
0.03,4.0,0.15,-9.01708052044251,-0.4731603115513655
0.03,4.0,0.175,-2.3156356224795283,-0.13427121921421037
0.03,4.0,0.2,0.0,0.032078895860737644
0.03,4.0,0.225,0.0,0.05777312981065097
0.03,4.0,0.23343234323432344,0.0,0.06454419657830335
0.03,4.0,0.25,0.0,0.07672535925234425
0.03,4.0,0.275,0.0,0.09236200047352816
0.035,4.0,0.1,-27.05962129393782,-1.323541721129634
0.035,4.0,0.125,-18.896173305399934,-0.9740266189107338
0.035,4.0,0.15,-11.594702720874972,-0.6293759623411666
0.035,4.0,0.175,-4.997013444531562,-0.2894558598748348
0.035,4.0,0.2,0.0,0.013020058160401193
0.035,4.0,0.225,0.0,0.046685928860268344
0.035,4.0,0.23343234323432344,0.0,0.054436857714001974
0.035,4.0,0.25,0.0,0.06784788027325295
0.035,4.0,0.275,0.0,0.08486912439191197
0.038,4.0,0.1,-28.271468971208257,-1.41854881019092
0.038,4.0,0.125,-20.238018001658777,-1.0683777445146343
0.038,4.0,0.15,-13.045481600936725,-0.7230883487413436
0.038,4.0,0.175,-6.523930001634359,-0.3825481941642589
0.038,4.0,0.2,-0.6684601800145629,-0.04662732729778796
0.038,4.0,0.225,0.0,0.03916116605833242
0.038,4.0,0.23343234323432344,0.0,0.04780121381486313
0.038,4.0,0.25,0.0,0.06216990981101067
0.038,4.0,0.275,0.0,0.0801769174637812
