object,value,status
D_CD,0.803125,pass
D_AI,0.4375,pass
singular_h,0.057551379917792155,pass
singular_inference_share,0.4488999999999999,pass
singular_investment_share,0.21315325895478565,pass
singular_research_share,0.07828731650029361,pass
singular_consumption_share,0.25965942454492086,pass
wage_sign_threshold_min_sigma,6.734006734006733,pass
capability_envelope_derivative_error,4.6502940387327385e-11,pass
generalized_ces_single_equation_error,0.0,pass
compute_cost_normalization_service_error,0.0,pass
compute_cost_normalization_capability_law_error,0.0,pass
balanced_growth_transversality_rate,0.028,pass
reported_monopoly_beta,0.13399999999999998,pass
reported_cd_research_concavity_sum,0.6075,pass
reported_sigma_two_research_curvature,0.9,pass
axm_sigma_xl_1_hm_1:resource,1.0,pass
axm_sigma_xl_1_hm_1:technologies,1.0,pass
axm_sigma_xl_1_hm_1:monopoly_foc,1.0,pass
axm_sigma_xl_1_hm_1:factor_prices,1.0,pass
axm_sigma_xl_1_hm_1:share_definitions,1.0,pass
axm_sigma_xl_1_hm_1:research_duality,1.0,pass
axm_sigma_xl_1_hm_1:research_compute_foc,1.0,pass
axm_sigma_xl_1_hm_1:research_human_foc,1.0,pass
axm_sigma_xl_1_hm_1:labor_market,1.0,pass
axm_sigma_xl_1_hm_1:dynamic_path,1.0,pass
axm_sigma_xl_1_hm_1:positive_consumption,1.0,pass
axm_sigma_xl_1_hm_1:monopoly_second_order,1.0,pass
axm_sigma_xl_1_hm_1:terminal_capability_growth_target,1.0,pass
axm_sigma_xl_1_hm_1:terminal_output_growth_target,1.0,pass
axm_sigma_xl_1_hm_2:resource,1.0,pass
axm_sigma_xl_1_hm_2:technologies,1.0,pass
axm_sigma_xl_1_hm_2:monopoly_foc,1.0,pass
axm_sigma_xl_1_hm_2:factor_prices,1.0,pass
axm_sigma_xl_1_hm_2:share_definitions,1.0,pass
axm_sigma_xl_1_hm_2:research_duality,1.0,pass
axm_sigma_xl_1_hm_2:research_compute_foc,1.0,pass
axm_sigma_xl_1_hm_2:research_human_foc,1.0,pass
axm_sigma_xl_1_hm_2:labor_market,1.0,pass
axm_sigma_xl_1_hm_2:dynamic_path,1.0,pass
axm_sigma_xl_1_hm_2:positive_consumption,1.0,pass
axm_sigma_xl_1_hm_2:monopoly_second_order,1.0,pass
axm_sigma_xl_1_hm_2:terminal_capability_growth_target,1.0,pass
axm_sigma_xl_1_hm_2:terminal_output_growth_target,1.0,pass
axm_sigma_xl_1_hm_1:complete_finite_time_grid,601.0,pass
axm_sigma_xl_1_hm_2:complete_finite_time_grid,801.0,pass
axm_sigma_xl_1_hm_1_T_1000:complete_finite_time_grid,501.0,pass
axm_sigma_xl_1_hm_1_T_1200:complete_finite_time_grid,601.0,pass
axm_sigma_xl_1_hm_1_T_1400:complete_finite_time_grid,701.0,pass
axm_sigma_xl_1_hm_2_T_1400:complete_finite_time_grid,701.0,pass
axm_sigma_xl_1_hm_2_T_1600:complete_finite_time_grid,801.0,pass
axm_sigma_xl_1_hm_2_T_1800:complete_finite_time_grid,901.0,pass
all_saved_paths:inference_service_X_equals_AU,0.0,pass
all_saved_paths:automated_research_service_equals_AM,0.0,pass
all_saved_paths:competitive_factor_prices,1.7763568394002505e-15,pass
all_saved_paths:net_interest_rate,0.0,pass
all_saved_paths:household_budget_equivalence,1.97758476261356e-15,pass
all_saved_paths:final_ces_share,0.0,pass
all_saved_paths:research_unit_expenditure,0.0,pass
all_saved_paths:research_conditional_demands,4.7407411329913884e-11,pass
all_saved_paths:research_expenditure_share,4.440892098500626e-16,pass
all_saved_paths:research_scale_foc,2.6645352591003757e-15,pass
all_saved_paths:effective_research_index,2.3868906851021165e-11,pass
all_saved_paths:consolidated_capability_law,1.0741629807853315e-11,pass
all_saved_paths:research_compute_foc,1.1935341603930283e-11,pass
all_saved_paths:human_research_foc,1.4362893097086271e-09,pass
all_saved_paths:costate_with_capability_feedback,8.673617379884035e-16,pass
"sigma_HM=1.0,T=1000.0:initial_states",1.0,pass
"sigma_HM=1.0,T=1000.0:static_equations",1.0,pass
"sigma_HM=1.0,T=1000.0:dynamic_equations",1.0,pass
"sigma_HM=1.0,T=1000.0:interiority",1.0,pass
"sigma_HM=1.0,T=1000.0:monopoly_second_order",1.0,pass
"sigma_HM=1.0,T=1000.0:terminal_conditions",1.0,pass
"sigma_HM=1.0,T=1000.0:finite_terminal_tvc_proxies",1.0,pass
axm_sigma_xl_1_hm_1_T_1000:summary_matches_raw_path,1.0,pass
"sigma_HM=1.0,T=1200.0:initial_states",1.0,pass
"sigma_HM=1.0,T=1200.0:static_equations",1.0,pass
"sigma_HM=1.0,T=1200.0:dynamic_equations",1.0,pass
"sigma_HM=1.0,T=1200.0:interiority",1.0,pass
"sigma_HM=1.0,T=1200.0:monopoly_second_order",1.0,pass
"sigma_HM=1.0,T=1200.0:terminal_conditions",1.0,pass
"sigma_HM=1.0,T=1200.0:finite_terminal_tvc_proxies",1.0,pass
axm_sigma_xl_1_hm_1_T_1200:summary_matches_raw_path,1.0,pass
"sigma_HM=1.0,T=1400.0:initial_states",1.0,pass
"sigma_HM=1.0,T=1400.0:static_equations",1.0,pass
"sigma_HM=1.0,T=1400.0:dynamic_equations",1.0,pass
"sigma_HM=1.0,T=1400.0:interiority",1.0,pass
"sigma_HM=1.0,T=1400.0:monopoly_second_order",1.0,pass
"sigma_HM=1.0,T=1400.0:terminal_conditions",1.0,pass
"sigma_HM=1.0,T=1400.0:finite_terminal_tvc_proxies",1.0,pass
axm_sigma_xl_1_hm_1_T_1400:summary_matches_raw_path,1.0,pass
sigma_HM=1.0:horizon_initial_consumption_range,7.314853756046347e-08,pass
sigma_HM=1.0:horizon_initial_shadow_range,5.751502873962977e-08,pass
sigma_HM=1.0:horizon_maximum_solver_residual,7.992970425205683e-06,pass
"sigma_HM=2.0,T=1400.0:initial_states",1.0,pass
"sigma_HM=2.0,T=1400.0:static_equations",1.0,pass
"sigma_HM=2.0,T=1400.0:dynamic_equations",1.0,pass
"sigma_HM=2.0,T=1400.0:interiority",1.0,pass
"sigma_HM=2.0,T=1400.0:monopoly_second_order",1.0,pass
"sigma_HM=2.0,T=1400.0:terminal_conditions",1.0,pass
