category,scenario,sigma_xl,sigma_hm,horizon,metric,value,relation,threshold,status,details
solver,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_rms_residual,7.654146656019622e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_static_equation_error,3.658939817796636e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_saved_rate_equation_error,3.5388358909926865e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_independent_dynamic_error,5.165572835481858e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_monopoly_foc_log_error,1.6563994620355516e-10,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,minimum_monopoly_soc_margin,0.07423013353470312,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,household_tvc_log_proxy,-124.44282036686938,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,developer_tvc_log_proxy,-134.8837866052551,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_1,0.75,1.0,4500.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-35.8456, 32.4067]; rejected solver trials unobservable"
solver,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_rms_residual,7.7090103548264e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_static_equation_error,5.31947819126799e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_saved_rate_equation_error,1.0269562977782698e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_independent_dynamic_error,5.195450066709101e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_monopoly_foc_log_error,3.1390712251777586e-10,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,minimum_monopoly_soc_margin,0.07421213443462571,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,household_tvc_log_proxy,-124.4428146843365,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,developer_tvc_log_proxy,-135.67837865969727,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
implementation,axm_complements_sigma_xl_075_hm_2,0.75,2.0,4500.0,accepted_path_bounded_exp_clipping_count,0.0,=,0.0,pass,"reconstructed argument range [-34.2627, 30.8306]; rejected solver trials unobservable"
solver,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,solver_success_flag,1.0,=,1.0,pass,
solver,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,cold_start_flag,1.0,=,1.0,pass,no continuation from another horizon
solver,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,solver_tolerance,1e-06,<=,1e-05,pass,declared ex-ante numerical tolerance
solver,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_rms_residual,8.35377395645046e-07,<,1e-05,pass,cold-start solve
equations,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_static_equation_error,3.657874003692996e-11,<,1e-08,pass,independent reconstruction
equations,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_saved_rate_equation_error,3.5318969970887792e-15,<,2e-05,pass,saved ODE rates versus independently reconstructed RHS
equations,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_independent_dynamic_error,8.286225045787271e-07,<,2e-05,pass,centered seven-point derivatives on interior dates
monopoly,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_monopoly_foc_log_error,2.6703972366703965e-11,<,1e-09,pass,dimensionless log FOC
monopoly,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,minimum_monopoly_soc_margin,0.0744200947432397,>,0.0,pass,
terminal_imposed,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_imposed_terminal_error,4.107825191113079e-15,<,1e-07,pass,C/Y and X/(q A^2) only
transversality,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,household_tvc_log_proxy,-99.24288305926932,<,-20.0,pass,finite-horizon diagnostic
transversality,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,developer_tvc_log_proxy,-107.7729099694515,<,-20.0,pass,finite-horizon diagnostic
implementation,axm_complements_sigma_xl_075_hm_1_T_3600,0.75,1.0,3600.0,maximum_static_fallback_flag,0.0,=,0.0,pass,monopoly and labor root flags on accepted paths
