category,comparison,variable,value,threshold,status,details,path_label
initial_jump,z=16 to z=32,initial_log_consumption,5.0459636469213365e-14,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
initial_jump,z=32 to z=64,initial_log_consumption,5.5344617777564054e-14,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
initial_jump,z=64 to z=128,initial_log_consumption,8.326672684688674e-16,1e-07,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
initial_jump,z=16 to z=32,initial_log_shadow_value,2.475797344914099e-14,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
initial_jump,z=32 to z=64,initial_log_shadow_value,3.4083846855992306e-14,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
initial_jump,z=64 to z=128,initial_log_shadow_value,3.885780586188048e-15,1e-07,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time,z=16,saved_T_star_error,0.0,1e-09,pass,recomputed_T_star=1669.0052022376451,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time,z=32,saved_T_star_error,0.0,1e-09,pass,recomputed_T_star=1669.0206265072823,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time,z=64,saved_T_star_error,0.0,1e-09,pass,recomputed_T_star=1669.0246044187904,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time,z=128,saved_T_star_error,0.0,1e-09,pass,recomputed_T_star=1669.0256203853171,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time_increment,z=16 to z=32,abs_delta_T_star,0.015424269637151156,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time_increment,z=32 to z=64,abs_delta_T_star,0.003977911508172838,,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time_increment,z=64 to z=128,abs_delta_T_star,0.0010159665266655793,0.02,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
singularity_time_contraction,last 4 boundaries,last_delta_over_previous_delta,0.2554019928744569,0.75,pass,,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_capital,0.0001132413934357146,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_capability,8.479503956770884e-06,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_consumption,0.00013204294477731082,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_shadow_value,0.00010694768528907161,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_output,0.0001350946301599265,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",log_wage,8.647543241702138e-05,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
