scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,alpha,eta,sigma_xl,sigma_hm,terminal_boundary_z
equilibrium_sigma_1.5_z_16,0.0,1667.6850982123171,1.0796090227264181,0.0,0.0,-0.3477982686478376,-0.768738350189968,0.024207560927320848,-0.4956170396602943,-0.4340763699183335,1.0432561013837542,-0.0,-4.295637509401341,-4.295637509401341,-8.531082635974007,-0.00019726076837402992,-10.63731379262304,-10.63731379262304,-9.048372255997723,0.024207560927320848,-0.3477982686478376,1.0796090227264181,0.053484551974124356,0.0016370742288376908,0.0368573809031569,0.0248573809031569,0.035409677690825925,0.026605741362262236,0.014605741362262236,0.01415177024122194,0.34805266940350577,0.004703524416701978,0.1148573809031569,0.0648573809031569,0.0001972413137478927,0.9998027586862521,0.056353473304011345,0.6476943306543163,0.22221865836545224,0.1581371012457398,0.013301944248657983,2.3429342842097372e-05,0.2973244025149316,0.6893502238935683,0.9999999999999998,0.6322431728863124,0.6323679019620674,2.8384442460354493,0.02445488286502961,0.45250977624360866,0.15749723555277106,8.217213461533358,8.217213461533358,60.685253302165144,-7.638334409421077e-14,0.0,0.0,6.927791673660977e-14,-3.3306690738754696e-16,4.0467629247586956e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.15441528687151085,1667.5306829254457,1.0878054351642896,0.0002528728848966167,0.0018529834424581301,-0.34214344055863366,-0.7633062491865775,0.028294155926975928,-0.49355468310035777,-0.4319122933316747,1.0429401826314173,-0.0002528728848966167,-4.290064917053321,-4.290317789938218,-8.52728455428752,0.0016553385711522207,-10.628934684878335,-10.628681811993438,-9.043808977419435,0.026441172484517796,-0.3439964240010918,1.0859524517218315,0.052679380777747545,0.0016381546987050976,0.036386306713732684,0.024386306713732684,0.03494919885239055,0.026325330294563187,0.014325330294563187,0.01387865103064101,0.346625171859796,0.004726011933627553,0.11438630671373269,0.06438630671373269,0.00019762534084505242,0.999802374659155,0.05641944988830342,0.6476721185376045,0.22221865001570115,0.15845913507371437,0.013318357319122242,2.353012975465314e-05,0.29622597870439604,0.690432133846727,0.9999999999999999,0.6321989685748367,0.6323239318073846,2.838265299496756,0.024482674106041043,0.4532336366643527,0.1571021872014216,8.179656283426514,8.177588131645438,61.089587109274085,-7.671521837920858e-14,0.0,0.0,7.283063041541027e-14,-2.220446049250313e-16,4.2743586448068527e-14,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.3088305737430217,1667.376267638574,1.0958790283529845,0.0005059115524086267,0.0037059668849162603,-0.3365604958926706,-0.7579444097037445,0.032337975394535756,-0.491495677555148,-0.4297898789182327,1.042625115122985,-0.0005059115524086267,-4.284556089361938,-4.285062000914346,-8.523517864457684,0.0035079433797241062,-10.620670127554101,-10.620164216001692,-9.039288710237862,0.028632008509619496,-0.3402664627775869,1.0921730614680683,0.05189368209947737,0.0016392215088244318,0.0359262832985443,0.023926283298544297,0.03449958770227045,0.026051672935289982,0.014051672935289982,0.01361212293021774,0.34523116151074024,0.0047481852497067685,0.11392628329854429,0.06392628329854429,0.00019800389983197844,0.9998019961001681,0.05648436622868785,0.6476502633696751,0.22221864179059495,0.15877615841274548,0.013334508548155044,2.3629654149522463e-05,0.2951462482517165,0.691495613545979,1.0000000000000002,0.6321554746267791,0.6322806686649631,2.8380892506501136,0.02451001682506581,0.45394625293898255,0.15671639216557323,8.142947889945551,8.138829320441154,61.49005278096661,-7.640101658962228e-14,0.0,0.0,7.283063041541027e-14,-1.1102230246251565e-16,4.363176486776865e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.46324586061453255,1667.2218523517026,1.1038327614244403,0.0007591139159210379,0.005558950327374391,-0.33104775445693213,-0.7526511795467141,0.0363400457234937,-0.48943994857697265,-0.42770812502767924,1.0423108781456767,-0.0007591139159210379,-4.279109492891625,-4.279868606807546,-8.519781843885042,0.0053605535482431676,-10.612517396836838,-10.611758282920917,-9.034810490304015,0.030781095396119305,-0.33660670478430654,1.098273811097066,0.05112684210308184,0.0016402749513028544,0.03547697339473379,0.02347697339473379,0.03406051050020044,0.025784557271812947,0.013784557271812947,0.013351978618292293,0.3438696163476781,0.004770049092224574,0.11347697339473378,0.06347697339473378,0.00019837709979169887,0.9998016229002084,0.05654824599027448,0.6476287571832742,0.22221863368759354,0.1590882783942792,0.013350403731529315,2.3727936646523103e-05,0.2940848429040471,0.6925410254277771,0.9999999999999999,0.632112675186516,0.6322380967465265,2.8379160342549334,0.024536921081954585,0.454647851991112,0.1563395824374796,8.107062156171324,8.100910307743636,61.88671394594516,-7.532993326342385e-14,0.0,0.0,7.460698725481052e-14,8.881784197001252e-16,4.5130565951012613e-14,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.6176611474860434,1667.0674370648312,1.1116695006692563,0.001012477933296406,0.0074119337698325205,-0.3256035870974863,-0.7474249570220142,0.04030136123824585,-0.48738742385463996,-0.42566606136845836,1.0419974516028638,-0.001012477933296406,-4.273723642166445,-4.274736120099742,-8.516075791499436,0.007213168970373607,-10.60447385311541,-10.603461375182114,-9.030373381395098,0.03288942746841333,-0.33301552086731884,1.1042575668994237,0.05037827192015401,0.0016413153101604418,0.03503805308964885,0.02303805308964885,0.03363164677694308,0.02552377988712662,0.013523779887126618,0.01309801918897291,0.34253955481711773,0.004791608113803797,0.11303805308964886,0.06303805308964885,0.0001987450470448784,0.9998012549529551,0.05661111215563567,0.647607592240936,0.22221862570422257,0.15939559922343627,0.013366048499357746,2.3824997476226282e-05,0.2930414035650455,0.6935687229381206,1.0,0.632070554855724,0.6321962007193777,2.837745586969735,0.024563396644918148,0.45533865493277065,0.15597150015169642,8.071973996615872,8.063805437007144,62.279633051791734,-7.670665318204595e-14,0.0,0.0,7.638334409421077e-14,-3.3306690738754696e-16,4.601874437071274e-14,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.7720764343575542,1666.9130217779596,1.1193920232942105,0.0012660016056489692,0.009264917212290651,-0.32022641368927474,-0.7422641889393101,0.04422288548774961,-0.4853380331333431,-0.42366274774077095,1.0416848159903385,-0.0012660016056489692,-4.26839709773405,-4.2696630993397,-8.512399026929543,0.009065789542449559,-10.596536937617786,-10.595270936012138,-9.025976474161533,0.03495796827545895,-0.3294913309015654,1.1101271060819198,0.04964740639502742,0.0016423428616244792,0.03460921116353411,0.02260921116353411,0.033212688679032626,0.025269145519923875,0.013269145519923874,0.012850053724977606,0.34124003382889123,0.00481286689371272,0.11260921116353412,0.06260921116353411,0.00019910784524254207,0.9998008921547574,0.05667298705050296,0.6475867610263307,0.2222186178380713,0.15969822228335664,0.013381448322284018,2.3920856489502793e-05,0.2920155799919826,0.694579050829244,1.0000000000000002,0.632029098676163,0.6321549656892407,2.83757784728013,0.024589453001552963,0.45601887726145607,0.15561189710331225,8.037659313867097,8.027490062772433,62.66887139200187,-7.746082421322686e-14,-3.885780586188048e-16,0.0,7.993605777301127e-14,-1.2212453270876722e-15,4.696243394164412e-14,0.0,0.0,-6.938893903907228e-18,-2.168404344971009e-19,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.8492840777933096,1666.8358141345238,1.1232112977752402,0.0013928226993239826,0.010191408933519715,-0.3175624688612829,-0.7397078777343566,0.04616901888587627,-0.4843144916118702,-0.4226753363068552,1.0415287888442668,-0.0013928226993239826,-4.265755627678489,-4.267148450377813,-8.510571420423673,0.009992101728029612,-10.59260768715041,-10.591214864451086,-9.023792819101194,0.03597760995235655,-0.32775387779480264,1.1130198888417204,0.04928844245996089,0.0016428519188435645,0.034398475654077144,0.022398475654077144,0.033006831332442026,0.02514407308140676,0.013144073081406759,0.012728261157002319,0.34060144137599135,0.004823385104322014,0.11239847565407715,0.06239847565407715,0.0001992873451284823,0.9998007126548715,0.05670355957474219,0.6475764682765035,0.22221861394821651,0.15984780308509067,0.013389058046839349,2.3968341416840954e-05,0.2915091670159903,0.6950778065957536,1.0,0.6320086150849227,0.6321345915094285,2.8374949740430493,0.02460232686823792,0.45635508655032586,0.15543520025830623,8.020784754074924,8.009620999373295,62.862129120131804,-7.75698949517789e-14,0.0,0.0,8.171241461241152e-14,-1.1102230246251565e-16,4.85722573273506e-14,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,0.9264917212290651,1666.7586064910881,1.127003020993042,0.001519682976161359,0.011117900654748781,-0.3149147012234749,-0.7371673687105313,0.048105552475052105,-0.48329170813828626,-0.421697272832445,1.0413729523736936,-0.001519682976161359,-4.263128464325658,-4.264648147301819,-8.508750889711749,0.010918415163386276,-10.588704169212825,-10.587184486236664,-9.021618885123022,0.03698765182030332,-0.3260326018782237,1.1158851203382931,0.048933702904400245,0.0016433578744104033,0.03419014847073575,0.022190148470735752,0.03280334035198452,0.025020466676017872,0.013020466676017872,0.012607898915717453,0.33997014688101745,0.004833829939149171,0.11219014847073576,0.06219014847073576,0.00019946559545487713,0.9998005344045451,0.056733892368260985,0.6475662562360187,0.22221861008679036,0.1599962462348975,0.013396608517385859,2.401553316676646e-05,0.2910070305056079,0.6955723454438396,1.0,0.6319882921132651,0.6321143771839057,2.837412755430154,0.024615099369348997,0.4566887290487714,0.15526053429361594,8.004094950251018,7.991940501209353,63.0544891322448,-7.714206877451613e-14,0.0,0.0,8.348877145181177e-14,-1.1102230246251565e-16,4.957145804951324e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,1.0,1666.6850982123171,1.1305877590211646,0.0016405010019715342,0.012,-0.3124086642919971,-0.734763105613165,0.04994047990920708,-0.48231862771310047,-0.42077465937471376,1.041224757831472,-0.0016405010019715342,-4.260640321573685,-4.262280822575657,-8.507024091387533,0.011800345915428898,-10.585011325947336,-10.583370824945366,-9.019558050197935,0.037940479909207084,-0.3244086642919971,1.1185877590211646,0.04859982714270296,0.0016438367347710642,0.03399400861424793,0.02199400861424793,0.03261176634758667,0.02490412476519044,0.012904124765190438,0.012494613002844712,0.3393757836795392,0.00484370663383361,0.11199400861424794,0.061994008614247934,0.00019963415502072048,0.9998003658449793,0.056762551398681145,0.6475566076957773,0.22221860643654034,0.16013653051886398,0.013403742734432997,2.4060193480740364e-05,0.2905328897473939,0.6960393073246924,1.0,0.6319690905628835,0.6320952783696735,2.837335078016562,0.02462716670268337,0.4570040232480715,0.15509609853451659,7.9883739989768605,7.975279806881686,63.2368048074725,-7.639960712679805e-14,-5.551115123125783e-17,0.0,8.348877145181177e-14,1.2212453270876722e-15,5.090372567906343e-14,0.0,0.0,-2.1700573282767976e-10,1.1010485058415842e-13,-1.1989435139136972e-10,-1.1853534820360778e-10,0.33,0.2,1.5,2.0,16.0
equilibrium_sigma_1.5_z_16,1.0036993646648207,1666.6813988476524,1.1307675166041742,0.0016465821979457377,0.012044392375977849,-0.3122829262135002,-0.7346424805296456,0.050032598580665166,-0.48226967447569014,-0.42072844772962215,1.0412173042973216,-0.0016465821979457377,-4.260515439883977,-4.262162022081923,-8.50693735522302,0.011844729836273358,-10.584826085296665,-10.58317950309872,-9.019454565677362,0.03798820620468732,-0.32432731858947805,1.1187231242281963,0.04858312323900081,0.0016438607607845873,0.03398419401130951,0.02198419401130951,0.032602180535435024,0.024898304009923766,0.012898304009923766,0.012488945207167479,0.3393460424585137,0.004844201950537128,0.11198419401130952,0.061984194011309515,0.0001996426084661394,0.9998003573915338,0.05676398804775357,0.6475561240239229,0.22221860625350837,0.1601435636556294,0.013404100375485707,2.4062434117902183e-05,0.29050912904355725,0.6960627081468391,1.0,0.6319681280080051,0.6320943209670395,2.8373311842359876,0.024627771616509184,0.4570198301974589,0.1550878707025696,7.987587147055717,7.9744457504188295,63.24595877698342,-7.564695397865862e-14,0.0,0.0,8.348877145181177e-14,-3.3306690738754696e-16,4.973799150320701e-14,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.33,0.2,1.5,2.0,16.0
