scenario,terminal_boundary_z,time,path_label,population_law_log_residual,final_ces_log_residual,final_output_log_residual,ai_share_residual,inference_identity_log_residual,research_service_identity_log_residual,research_ces_log_residual,capability_law_level_residual,wage_log_residual,ai_price_log_residual,ai_marginal_cost_log_residual,gross_return_residual,net_return_residual,inverse_elasticity_residual,monopoly_foc_log_residual,research_compute_foc_log_residual,research_human_foc_log_residual,labor_market_residual,resource_constraint_residual,household_budget_residual,final_firm_zero_profit_residual,research_machine_technology_share_residual,research_machine_cost_share_residual,inference_resource_share_residual,research_resource_share_residual,investment_share_residual,consumption_share_residual,resource_share_sum_residual,production_labor_income_share_residual,aggregate_labor_income_share_residual,ai_operating_profit_share_residual,ai_markup_residual,shadow_capability_to_capital_residual,capital_rhs_residual,capability_rhs_residual,consumption_euler_rhs_residual,shadow_costate_rhs_residual,reconstructed_ai_share,reconstructed_research_machine_share,reconstructed_output_capital_ratio,reconstructed_capability_growth,reconstructed_monopoly_soc_margin,minimum_positive_share_or_soc,positive_and_interior,share_clipping_detected,bounded_exp_clipping_detected,minimum_bounded_exp_argument,maximum_bounded_exp_argument,stored_capital_law_residual,stored_capability_law_residual,stored_consumption_euler_path_residual,stored_shadow_costate_residual
equilibrium_sigma_1.5_z_16,16.0,0.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,1.0658141036401503e-14,2.778268066994105e-19,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,-7.704947790898586e-14,7.771561172376096e-16,7.494005416219807e-15,0.0,0.0,2.7755575615628914e-16,-1.1102230246251565e-16,7.771561172376096e-16,8.049116928532385e-16,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.778268066994105e-19,2.7755575615628914e-17,2.7755575615628914e-17,0.05598349583181975,0.15633438032159847,0.35723108306290674,5.251620579207368e-05,0.2222187050074182,1.6960709378516229e-06,1,0,0,-14.316568610018354,-1.029372415112542,0.0,0.0,-6.938893903907228e-18,0.0
equilibrium_sigma_1.5_z_16,16.0,0.12244766062938074,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,1.0658141036401503e-14,1.8295911660692887e-19,0.0,0.0,0.0,0.0,0.0,0.0,-7.732748513370304e-14,5.551115123125783e-16,6.938893903907228e-15,0.0,0.0,-8.326672684688674e-17,0.0,7.494005416219807e-16,7.494005416219807e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.8295911660692887e-19,0.0,0.0,0.05603602370162534,0.1565899953064404,0.35591420608562385,5.265075304089057e-05,0.222218698404098,1.705435462317207e-06,1,0,0,-14.314755648035389,-1.0330655713153671,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.24489532125876148,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.5987211554602254e-14,3.7947076036992655e-19,0.0,0.0,0.0,0.0,0.0,0.0,-7.638442490825147e-14,3.3306690738754696e-16,9.43689570931383e-15,0.0,0.0,5.551115123125783e-17,-1.1102230246251565e-16,1.2490009027033011e-15,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7947076036992655e-19,0.0,0.0,0.05608776609716454,0.15684189451386707,0.3546230836762195,5.278455666364054e-05,0.22221869189346577,1.714736810785635e-06,1,0,0,-14.312950741892912,-1.0366997896711216,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.3673429818881422,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,1.2434497875801753e-14,2.778268066994105e-19,0.0,0.0,0.0,0.0,0.0,0.0,-7.684498043859615e-14,1.2212453270876722e-15,8.493206138382448e-15,0.0,2.220446049250313e-16,1.3877787807814457e-16,-1.1102230246251565e-16,1.0269562977782698e-15,1.0547118733938987e-15,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.778268066994105e-19,0.0,6.938893903907228e-18,0.05613873758930098,0.15709014383948516,0.35335705015754965,5.291762956865325e-05,0.22221868547395923,1.723975640196476e-06,1,0,0,-14.311153775348412,-1.0402762597093829,0.0,-6.776263578034403e-21,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.4285668122028326,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,5.551115123125783e-17,0.0,-2.0816681711721685e-17,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,5.551115123125783e-17,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-7.614434188968171e-14,6.661338147750939e-16,9.048317650695026e-15,0.0,0.0,-2.7755575615628914e-17,0.0,9.43689570931383e-16,1.1657341758564144e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-1.3877787807814457e-17,-1.3322676295501878e-15,0.0,0.0,3.7947076036992655e-19,0.0,6.938893903907228e-18,0.05616393870253687,0.15721291997243197,0.3527332398755599,5.298389596244011e-05,0.22221868229789923,1.7285718139483118e-06,1,0,0,-14.310258233604916,-1.0420432021333033,0.0,0.0,6.938893903907228e-18,0.0
equilibrium_sigma_1.5_z_16,16.0,0.48979064251752297,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,1.5987211554602254e-14,3.7947076036992655e-19,-5.551115123125783e-17,4.440892098500626e-16,0.0,0.0,0.0,0.0,-7.62776445467888e-14,6.661338147750939e-16,9.825473767932635e-15,0.0,0.0,-2.7755575615628914e-17,-2.220446049250313e-16,9.992007221626409e-16,1.0269562977782698e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,2.0816681711721685e-17,1.3322676295501878e-15,0.0,0.0,3.7947076036992655e-19,0.0,0.0,0.056188952393651695,0.15733480766010696,0.35211546231212065,5.304998439651833e-05,0.22221867914405025,1.7331526016386729e-06,1,0,0,-14.309364634004698,-1.0437961392379993,0.0,0.0,-6.938893903907228e-18,0.0
equilibrium_sigma_1.5_z_16,16.0,0.5510144728322134,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-1.1102230246251565e-16,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-7.675630964154578e-14,1.1102230246251565e-15,9.603429163007604e-15,0.0,0.0,2.7755575615628914e-17,-2.220446049250313e-16,1.0547118733938987e-15,1.0269562977782698e-15,1.0408340855860843e-17,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,-3.469446951953614e-17,-8.881784197001252e-16,0.0,0.0,3.7947076036992655e-19,0.0,6.938893903907228e-18,0.05621378038595724,0.1574558147198487,0.35150364041951854,5.311589641039183e-05,0.22221867601222628,1.7377180837455465e-06,1,0,0,-14.308472962531903,-1.045535210972763,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.6122383031469038,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-5.551115123125783e-16,-3.885780586188048e-16,-2.0816681711721685e-17,0.0,0.0,1.5987211554602254e-14,4.675621868843738e-19,-3.885780586188048e-16,-8.881784197001252e-16,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-7.524825218225423e-14,5.551115123125783e-16,9.2148511043888e-15,0.0,-4.440892098500626e-16,-3.885780586188048e-16,-2.220446049250313e-16,9.992007221626409e-16,9.992007221626409e-16,0.0,0.0,1.6653345369377348e-16,2.220446049250313e-16,0.0,0.0,0.0,-1.3877787807814457e-17,-2.6645352591003757e-15,0.0,-1.6653345369377348e-16,4.675621868843738e-19,-5.551115123125783e-17,-5.551115123125783e-17,0.056238424381960334,0.1575759488797302,0.3508976984383769,5.3181633527780046e-05,0.22221867290224365,1.7422683403860528e-06,1,0,0,-14.307583205282494,-1.0472605554387673,0.0,-6.776263578034403e-21,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.6734621334615941,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,-2.0816681711721685e-17,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,0.0,-4.440892098500626e-16,0.0,0.0,0.0,-1.1102230246251565e-16,-7.653095144373109e-14,1.2212453270876722e-15,9.270362255620057e-15,0.0,0.0,0.0,0.0,1.0269562977782698e-15,1.0269562977782698e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,-1.3322676295501878e-15,0.0,0.0,3.7947076036992655e-19,0.0,6.938893903907228e-18,0.05626288606369416,0.15769521777990106,0.3502975618707006,5.324719725684338e-05,0.22221866981392033,1.7468034513176006e-06,1,0,0,-14.306695348463403,-1.048972308920815,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.7346859637762845,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,-7.700591331044268e-14,8.881784197001252e-16,9.2148511043888e-15,0.0,0.0,5.551115123125783e-17,0.0,1.2212453270876722e-15,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7947076036992655e-19,0.0,6.938893903907228e-18,0.05628716709304232,0.15781362897390752,0.3497031574535971,5.331258909040516e-05,0.22221866674707647,1.7513234959391453e-06,1,0,0,-14.305809378391636,-1.0506706059184037,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.7959097940909747,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,0.0,0.0,0.0,0.0,0.0,0.0,-7.651121896419186e-14,8.881784197001252e-16,9.43689570931383e-15,0.0,0.0,2.7755575615628914e-17,0.0,1.1657341758564144e-15,1.1657341758564144e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7947076036992655e-19,0.0,-6.938893903907228e-18,0.05631126911205729,0.15793118992998376,0.3491144131336531,5.3377810506168204e-05,0.22221866370153412,1.7558285532923571e-06,1,0,0,-14.304925281493416,-1.0523555791761394,0.0,6.776263578034403e-21,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.8571336244056652,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,1.5987211554602254e-14,4.743384504624082e-19,0.0,0.0,0.0,0.0,0.0,0.0,-7.679815306914015e-14,7.771561172376096e-16,1.0103029524088925e-14,0.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,1.2490009027033011e-15,1.2490009027033011e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.743384504624082e-19,0.0,0.0,0.056335193743271644,0.1580479080323219,0.3485312580419508,5.344286296692887e-05,0.2222186606771171,1.7603187020628854e-06,1,0,0,-14.304043044303297,-1.054027359713497,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.9183574547203556,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-6.106226635438361e-16,-3.885780586188048e-16,-2.0816681711721685e-17,0.0,0.0,1.7763568394002505e-14,4.743384504624082e-19,-3.885780586188048e-16,-8.881784197001252e-16,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-7.666430831094681e-14,5.551115123125783e-16,1.0380585280245214e-14,0.0,-4.440892098500626e-16,-4.718447854656915e-16,-1.1102230246251565e-16,1.5265566588595902e-15,1.5543122344752192e-15,0.0,0.0,1.6653345369377348e-16,2.220446049250313e-16,0.0,0.0,0.0,-1.3877787807814457e-17,-2.220446049250313e-15,0.0,-1.6653345369377348e-16,4.743384504624082e-19,-5.551115123125783e-17,-4.85722573273506e-17,0.056358942590003853,0.15816379058231508,0.34795362246970063,5.3507747920786184e-05,0.22221865767365115,1.7647940205815365e-06,1,0,0,-14.303162653463303,-1.0556860768539618,0.0,0.0,0.0,0.0
equilibrium_sigma_1.5_z_16,16.0,0.9795812850350459,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-5.551115123125783e-17,-5.551115123125783e-17,-2.0816681711721685e-17,0.0,0.0,1.5987211554602254e-14,3.8624702394796095e-19,-5.551115123125783e-17,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-7.551162521874169e-14,1.1102230246251565e-16,1.0269562977782698e-14,0.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,1.5543122344752192e-15,1.5543122344752192e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,-1.3322676295501878e-15,0.0,0.0,3.8624702394796095e-19,0.0,0.0,0.0563825172366573,0.15827884479977966,0.3473814378444771,5.357246680134718e-05,0.22221865469096397,1.7692545868255094e-06,1,0,0,-14.302284095722063,-1.0573318582535547,6.938893903907228e-18,0.0,6.938893903907228e-18,0.0
equilibrium_sigma_1.5_z_16,16.0,1.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,1.4210854715202004e-14,3.7947076036992655e-19,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,-7.636226991448308e-14,6.661338147750939e-16,9.936496070395151e-15,0.0,0.0,2.220446049250313e-16,-1.1102230246251565e-16,1.4710455076283324e-15,1.4710455076283324e-15,0.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,3.7947076036992655e-19,2.7755575615628914e-17,2.7755575615628914e-17,0.056390341134591446,0.1583170334899282,0.34719180938757416,5.359401446439979e-05,0.22221865370080107,1.7707389600144547e-06,1,0,0,-14.301991493918067,-1.0578778869477783,2.4622548444597214e-10,-8.663730811323683e-15,1.3512849866836874e-10,1.337595798012181e-10
