scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,terminal_boundary_z
equilibrium_sigma_1.5_z_128,0.0,882.1080135603939,1.0397665031863517,0.0,0.0,-0.37181442444225454,-0.7681475542955569,0.01039408807380976,-0.49661023578759156,-0.4476806371574297,1.0436097179091668,-0.0,-4.316391545406078,-4.316391545406078,-11.143362415704635,-1.4471126347695235e-05,-13.276802106831928,-13.276802106831928,-11.66493015168265,0.01039408807380976,-0.37181442444225454,1.0397665031863517,0.05875386044605346,5.251620579207564e-05,0.03988625741075926,0.02788625741075926,0.0391074381810068,0.028348789613552583,0.016348789613552583,0.015891357464659084,0.3572310830629068,0.00014700906019095704,0.11788625741075925,0.06788625741075925,1.4471021641451422e-05,0.9999855289783586,0.05598349583181975,0.6478188897366207,0.2222187050074182,0.15633438032159924,0.013209940911379642,1.6960709378517495e-06,0.30443560373749,0.6823527592801926,1.0,0.6324910577926807,0.6325002107169182,2.839448144314359,0.024299001295939586,0.45907501891734587,0.16399586621496792,8.443861191417385,8.443861191417385,23.95709503384154,-7.704947790898586e-14,5.551115123125783e-17,0.0,1.0658141036401503e-14,0.0,6.661338147750939e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.12251500188338804,881.9854985585106,1.0469188358027346,6.442277267308121e-06,0.0014701800226006566,-0.3669544826858208,-0.763382455020194,0.013851249727179937,-0.4949730837130187,-0.4457492778228452,1.0435530355982041,-6.442277267308121e-06,-4.3119393554968655,-4.311945797774133,-11.138265287223215,0.0014556563145444778,-13.26783581740407,-13.267829375126801,-11.659226637681304,0.01238106970457928,-0.36842466270842145,1.045448655780134,0.05800716813546551,5.2650826830639734e-05,0.03945145137150929,0.027451451371509287,0.03868198984528061,0.028088638911738517,0.016088638911738517,0.01563804177401318,0.3559134890045736,0.00014793152959134727,0.1174514513715093,0.06745145137150929,1.4523602587641543e-05,0.9999854763974123,0.05603605237236576,0.6478011957013036,0.22221869840049205,0.15659013485589393,0.013223006530922482,1.7054405949843494e-06,0.30346466619610923,0.6833106218323732,0.9999999999999999,0.6324558449105149,0.6324650305812697,2.839305493927322,0.024321148558562572,0.4596788146160019,0.16360589073146786,8.411253656038625,8.411199468584945,24.168299357840247,-7.739003428169303e-14,0.0,0.0,1.2434497875801753e-14,1.1102230246251565e-16,8.1601392309949e-15,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,128.0
equilibrium_sigma_1.5_z_128,0.24503000376677608,881.8629835566271,1.0539806161722387,1.2901001895652606e-05,0.002940360045201313,-0.3621472877134429,-0.7586689640009743,0.017276861164593815,-0.4933384211526045,-0.4438486391002067,1.0434970909791619,-1.2901001895652606e-05,-4.307534352692388,-4.307547253694283,-11.1332053508515,0.0029257841065003995,-13.258968144862449,-13.258955243860553,-11.653568955466834,0.014336501119392503,-0.3650876477586442,1.0510402561270373,0.057275569005494215,5.278470343214044e-05,0.039025153568116804,0.027025153568116803,0.038264920611420894,0.027833723486581086,0.015833723486581085,0.015389834757406629,0.3546216774791418,0.0001488479322735287,0.1170251535681168,0.0670251535681168,1.4575832472435121e-05,0.9999854241675276,0.05608782258253819,0.6477837663972121,0.22221869188635504,0.15684216956115726,0.013235877886073019,1.7147470069749696e-06,0.3025070823872688,0.6842553249796511,0.9999999999999999,0.6324211588696993,0.632430377068926,2.8391649918319057,0.024342963244227564,0.4602741797332359,0.16322320171733615,8.379286720709874,8.379178620213315,24.378408049962434,-7.616859583109339e-14,0.0,0.0,1.2434497875801753e-14,4.440892098500626e-16,8.049116928532385e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.3675450056501641,881.7404685547438,1.0609536685760579,1.9376083475129074e-05,0.00441054006780197,-0.3573918106945514,-0.7540060681045796,0.020671555200528602,-0.49170620213368743,-0.4419781034958108,1.0434418700809993,-1.9376083475129074e-05,-4.3031755898007,-4.303194965884176,-11.128181900772416,0.004395912244350044,-13.250197148492994,-13.250177772409518,-11.64795625041769,0.016261015132726632,-0.36180235076235334,1.0565431285082558,0.056558659614202825,5.2917848525992445e-05,0.038607143970702494,0.026607143970702494,0.03785601246108278,0.027583904003147808,0.015583904003147808,0.01514660016382896,0.3533549817294015,0.00014975832027894494,0.1166071439707025,0.0666071439707025,1.4627716465838383e-05,0.9999853722835341,0.05613882105695723,0.6477665969108244,0.22221868546344228,0.1570905504405087,0.013248558550826241,1.7239908318428044e-06,0.30156263566083025,0.6851870817975118,1.0,0.6323869898918386,0.6323962404047373,2.8390265977890574,0.024364451557335097,0.46086125470313166,0.16284762023541413,8.34794372219464,8.347781973307267,24.58743562129759,-7.605229312523769e-14,0.0,0.0,1.4210854715202004e-14,-6.661338147750939e-16,7.549516567451064e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.42880250659185815,881.6792110538021,1.0644074785533224,2.2619730297914496e-05,0.005145630079102298,-0.3550331521782494,-0.751693283926528,0.022357501345066033,-0.4908909948918364,-0.44105393589658676,1.043414526755417,-2.2619730297914496e-05,-4.301013259216446,-4.3010358789467436,-11.125683642356167,0.005130976441394506,-13.245847311231474,-13.245824691501175,-11.645166503003637,0.017211871265963734,-0.36017878225735167,1.05926184847422,0.056205591337235405,5.2984150724412246e-05,0.03840118052954055,0.02640118052954055,0.037654552691097215,0.027460863019912463,0.015460863019912462,0.015026806242934843,0.35273085008951677,0.00015021127500179193,0.11640118052954054,0.06640118052954054,1.4653530343767053e-05,0.9999853464696562,0.056164035356415745,0.6477581080966733,0.22221868228571534,0.15721339090397685,0.013254828467483387,1.7285894781325577e-06,0.3010952722459131,0.6856481706971254,0.9999999999999999,0.6323700963112013,0.6323793629013845,2.8389581789845,0.024375075221315157,0.46115172643774666,0.16266244048663467,8.332501147181594,8.332312670384587,24.69154846093148,-7.662562939844339e-14,-5.551115123125783e-17,0.0,1.4210854715202004e-14,2.220446049250313e-16,8.493206138382448e-15,0.0,0.0,-6.938893903907228e-18,6.776263578034403e-21,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.49006000753355217,881.6179535528604,1.0678397687316006,2.5867433163271922e-05,0.005880720090402626,-0.3526870492968481,-0.7493927804517769,0.02403594787602037,-0.4900763817991162,-0.4401370699176194,1.04338735927577,-2.5867433163271922e-05,-4.298862144746905,-4.298888012180068,-11.123194248780283,0.005866040723015053,-13.241520937994789,-13.241495070561626,-11.642387688846823,0.018155227785617744,-0.3585677693872507,1.061959048641198,0.05585605051065984,5.305027477329041e-05,0.03819720997704056,0.026197209977040562,0.03745505476691163,0.02733904594154346,0.01533904594154346,0.01490820645905222,0.35211275750618354,0.0001506627455052059,0.11619720997704057,0.06619720997704057,1.4679259646187657e-05,0.9999853207403538,0.05618906203422724,0.6477496824484769,0.2222186791302231,0.15733534197497917,0.013261052012801804,1.7331727217435709e-06,0.30063111390901787,0.6861061009054586,1.0,0.6323533284370677,0.6323626110520258,2.838890272550723,0.02438561955013044,0.4614401769304223,0.1624789731231122,8.317208562434582,8.316993420380593,24.79539636226619,-7.768393946779723e-14,0.0,0.0,1.4210854715202004e-14,9.992007221626409e-16,9.270362255620057e-15,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,128.0
equilibrium_sigma_1.5_z_128,0.5513175084752462,881.5566960519187,1.0712507537624456,2.9119181205515897e-05,0.006615810101702954,-0.3503533807531564,-0.7471044382773432,0.025706969272323354,-0.4892623574168414,-0.43922743289245847,1.0433603659903614,-2.9119181205515897e-05,-4.296722134915475,-4.296751254096681,-11.120713636676708,0.006601105088590831,-13.237217800092846,-13.237188680911641,-11.639619706897138,0.0190911591706204,-0.3569691908548594,1.0646349436607427,0.055509990540711346,5.311622221460702e-05,0.037995206847258454,0.025995206847258454,0.037257493463834584,0.027218436670639612,0.015218436670639612,0.014790785073659496,0.3515006268098741,0.00015111273825220648,0.11599520684725846,0.06599520684725846,1.4704904993947417e-05,0.999985295095006,0.0562139028164618,0.6477413193851246,0.22221867599677936,0.15745641148338782,0.013267229609688595,1.7377406432852115e-06,0.3001701348253398,0.6865608978243283,1.0,0.6323366851129706,0.6323459837005841,2.838822873731317,0.0243960852773408,0.4617266228977538,0.16229719736336684,8.302064040092484,8.301822294305062,24.89898107781881,-7.716153359164403e-14,0.0,0.0,1.5987211554602254e-14,0.0,9.880984919163893e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.6125750094169402,881.495438550977,1.0746406454678172,3.237496365293311e-05,0.007350900113003283,-0.34803202679686807,-0.7448281395324168,0.027370639035359745,-0.48844891637167165,-0.43832495311042247,1.0433335452675747,-3.237496365293311e-05,-4.294593119709325,-4.294625494672978,-11.118241723707609,0.007336169537506439,-13.232937671777227,-13.232905296813575,-11.636862457330315,0.020019738922356464,-0.35538292690987133,1.067289745354814,0.055167365634693225,5.31819945745231e-05,0.03779514610029774,0.025795146100297737,0.03706184398102383,0.027099019391241264,0.015099019391241263,0.014674526622737716,0.3508943821221144,0.00015156125969556072,0.11579514610029774,0.06579514610029774,1.4730467002448991e-05,0.9999852695329976,0.056238559408340286,0.6477330183325254,0.22221867288520006,0.1575766071696176,0.01327336167599002,1.7422933230051547e-06,0.29971230943815463,0.6870125865925323,1.0,0.6323201651964119,0.6323294797049475,2.8387559778278657,0.024406473127597972,0.4620110808777619,0.16211709275817243,8.287065684702199,8.286797395594823,25.002304346838656,-7.716429491905208e-14,0.0,0.0,1.5987211554602254e-14,-1.1102230246251565e-16,9.825473767932635e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.6738325103586343,881.4341810500354,1.078009652888627,3.563476982682041e-05,0.008085990124303612,-0.34572286919873707,-0.7425637678526711,0.029027029705681384,-0.48763605335457544,-0.43742955980022985,1.0433068954955615,-3.563476982682041e-05,-4.29247499055437,-4.292510625324197,-11.115778428548694,0.008071234069151847,-13.228680330191757,-13.22864469542193,-11.634115841528361,0.020941039581377774,-0.3538088593230407,1.0699236627643234,0.0548281307838563,5.32475933636081e-05,0.037597003113390724,0.025597003113390724,0.03686808193259032,0.026980778547458506,0.014980778547458506,0.014559415898451888,0.3502939488284567,0.0001520083162774933,0.11559700311339072,0.06559700311339071,1.4755946281718606e-05,0.9999852440537182,0.05626303349456608,0.6477247787234961,0.2222186697953029,0.15769593668597426,0.01327944862457139,1.7468308407905956e-06,0.29925761245505256,0.6874611920895353,1.0,0.6323037675586407,0.6323130979367471,2.8386895801990413,0.02441678381678788,0.4622935672324527,0.16193863918384946,8.272211632537639,8.271916859432276,25.10536789543394,-7.693805580697224e-14,-5.551115123125783e-17,0.0,1.2434497875801753e-14,-7.771561172376096e-16,7.494005416219807e-15,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,128.0
equilibrium_sigma_1.5_z_128,0.7350900113003284,881.3729235490936,1.0813579823322468,3.889858914053643e-05,0.00882108013560394,-0.34342579122529315,-0.740311208355111,0.030676212879364895,-0.4868237631198158,-0.43654118311397977,1.0432804150819193,-3.889858914053643e-05,-4.2903676402907625,-4.290406538879903,-11.113323670872871,0.008806298682922334,-13.224445555324122,-13.224406656734981,-11.631379762060394,0.021855132743760955,-0.3522468713608971,1.0725369021966429,0.05449224174671627,5.331302007706147e-05,0.03740075367220371,0.02540075367220371,0.03667618333892589,0.026863698853185625,0.014863698853185624,0.014445437955812324,0.34969925355213244,0.0001524539144293989,0.1154007536722037,0.0654007536722037,1.4781343436472801e-05,0.9999852186565635,0.05628732673965076,0.647716599997651,0.22221866672690777,0.15781440759797682,0.01328549086339552,1.7513532761694763e-06,0.29880601884424324,0.6879067389390852,1.0,0.6322874910844339,0.6322968372811396,2.8386236762596684,0.024427018052170485,0.46257409815032935,0.16176181683572102,8.257500050935919,8.257178852081239,25.208173436696768,-7.692560103451582e-14,-5.551115123125783e-17,0.0,1.4210854715202004e-14,6.661338147750939e-16,8.604228440844963e-15,0.0,0.0,0.0,0.0,0.0,0.0,128.0
