scenario,normalization,omega_h,omega_m,chi,alpha,eta,sigma_xl,sigma_hm,terminal_output_capital_ratio,duration,initial_log_consumption,initial_log_shadow_value,mesh_nodes,max_rms_residual,estimated_singularity_time,initial_capability_growth
omega_H=0.65; published equilibrium,fixed chi,0.65,0.35,0.01,0.33,0.2,1.5,2.0,16.0,1667.6850982123171,-0.3477982686478376,-0.768738350189968,1704.0,9.890785201850142e-07,1669.005202237645,
omega_H=0.65; published equilibrium,fixed chi,0.65,0.35,0.01,0.33,0.2,1.5,2.0,32.0,1668.3605744946183,-0.34779826864788804,-0.7687383501899927,1501.0,9.990820779325047e-07,1669.0206265072823,
omega_H=0.65; published equilibrium,fixed chi,0.65,0.35,0.01,0.33,0.2,1.5,2.0,64.0,1668.6945784124584,-0.3477982686478327,-0.7687383501899586,1563.0,9.999939436666229e-07,1669.0246044187904,
omega_H=0.65; published equilibrium,fixed chi,0.65,0.35,0.01,0.33,0.2,1.5,2.0,128.0,1668.860607382151,-0.34779826864783187,-0.7687383501899625,2908.0,9.991960781912144e-07,1669.025620385317,
omega_H=0; fixed chi,fixed chi,0.0,1.0,0.01,,,1.5,2.0,16.0,1505.8396514621556,,,2057.0,9.998776464129666e-07,1507.1597554874836,0.0017487267038449467
omega_H=0; fixed chi,fixed chi,0.0,1.0,0.01,,,1.5,2.0,32.0,1506.5150746272411,,,1479.0,9.990965919386238e-07,1507.175126639905,0.0017487267038449792
omega_H=0; fixed chi,fixed chi,0.0,1.0,0.01,,,1.5,2.0,64.0,1506.8490695866521,,,1480.0,9.96294519294474e-07,1507.1790955929841,0.0017487267038449716
omega_H=0; fixed chi,fixed chi,0.0,1.0,0.01,,,1.5,2.0,128.0,1507.0150970327009,,,1477.0,9.9702645728039e-07,1507.1801100358668,0.0017487267038449792
omega_H=0; matched initial g_B,matched initial capability growth,0.0,1.0,0.009484034594491028,,,1.5,2.0,64.0,1528.6352306889976,,,1406.0,9.995329881918809e-07,1528.9652566953296,0.0016370756386756842
omega_H=0; matched initial g_B,matched initial capability growth,0.0,1.0,0.009484034594491028,,,1.5,2.0,128.0,1528.801258181119,,,1642.0,9.990039179078993e-07,1528.966271184285,0.001637075638675661
