scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,research_human_kkt_slack,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
omega_H=0; fixed chi,0.0,1507.0150970327009,1.0796090227264181,0.0,0.0,-0.34788939722608087,-0.7601805723347691,0.024335829077955007,-0.49542559465934777,-0.434143423946931,1.0432578495245561,-0.0,-4.295543451887066,-4.295543451887066,-inf,0.0,-8.7184858384462,-8.7184858384462,-8.7184858384462,0.024335829077955007,-0.34788939722608087,1.0796090227264181,0.05350322422653986,0.0017487267038449792,0.036872114391890524,0.024872114391890524,0.03537419125880293,0.026620553044698347,0.014620553044698347,0.014160608243773964,0.34809731633906216,0.005023671892206265,0.11487211439189052,0.06487211439189051,0.0,1.0,0.05635164395932727,0.6476949465336932,0.2222186585968281,1.0,0.013301489188464414,0.00015960290561218464,0.29733990860683096,0.6891989992990925,1.0,0.6322443985472507,0.6322443985472507,2.838449208039987,0.024454112264284854,0.45634033397345874,0.15885084559343235,0.0,0.0,60.677469816150655,-7.638334409421077e-14,0.0,0.0,0.0,7.771561172376096e-16,0.0,-1.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0
omega_H=0; fixed chi,0.13953843491043524,1506.8755585977904,1.0870237503660432,0.000244142259289092,0.001674461218925223,-0.3427741688516653,-0.7552737139403021,0.028032651601169967,-0.4935599791337676,-0.43218478074485955,1.0429562522487488,-0.000244142259289092,-4.2904786299513225,-4.290722772210612,-inf,0.001674461218925223,-8.712291229888294,-8.712047087629005,-8.712047087629005,0.026358190382244743,-0.3444486300705905,1.085349289147118,0.05277453268626628,0.0017505526414710584,0.0364458237152487,0.024445823715248702,0.03495716205917868,0.02636682381346178,0.014366823813461781,0.013913476536175917,0.3468055264098446,0.005047649210186769,0.11444582371524871,0.0644458237152487,0.0,1.0,0.05641176952617175,0.6476747042595221,0.2222186509882017,1.0,0.013316446565640945,0.00016000205781179047,0.29634629456512857,0.6901772568114186,0.9999999999999998,0.6322041144174648,0.6322041144174649,2.8382861295787354,0.024479439016894124,0.45700441683757137,0.158491657352978,0.0,0.0,61.043021213571606,-7.577364300251355e-14,0.0,0.0,0.0,-7.771561172376096e-16,0.0,-1.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0
omega_H=0; fixed chi,0.2790768698208705,1506.7360201628799,1.0943379163921438,0.0004885376518328644,0.003348922437850446,-0.33771778963630017,-0.7504244225353492,0.03169445715334934,-0.49169709739710177,-0.43026024325085205,1.0426552303440442,-0.0004885376518328644,-4.2854658296343295,-4.285954367286163,-inf,0.003348922437850446,-8.706168516783967,-8.705679979132134,-8.705679979132134,0.028345534715498895,-0.3410667120741506,1.0909889939542934,0.05206180033268752,0.001752354933334457,0.03602858872242084,0.02402858872242084,0.03454904330908374,0.026118629154192607,0.014118629154192607,0.013671746048049549,0.3455411779467298,0.005071334605465193,0.11402858872242083,0.06402858872242083,0.0,1.0,0.05647103145943133,0.6476547527419915,0.2222186434809244,1.0,0.013331190693468047,0.00016039629297340225,0.29536798172408224,0.6911404312894763,1.0,0.632164408922181,0.632164408922181,2.8381254118851866,0.024504400384350943,0.45765926160915693,0.15814012035465866,0.0,0.0,61.405407834932944,-7.661753176346764e-14,0.0,0.0,0.0,-7.771561172376096e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; fixed chi,0.4186153047313058,1506.5964817279696,1.1015537157078898,0.0007331829107204743,0.00502338365677567,-0.33271901354868755,-0.7456314721780428,0.0353220069620957,-0.4898368943604597,-0.42836906860026996,1.0423547702287141,-0.0007331829107204743,-4.280503916266536,-4.281237099177257,-inf,0.00502338365677567,-8.70011616752261,-8.69938298461189,-8.69938298461189,0.03029862330532003,-0.33774239720546323,1.0965303320511142,0.05136457114196273,0.0017541340444177363,0.03562015890742414,0.02362015890742414,0.03414958702136771,0.02587581156038299,0.013875811560382988,0.013435262761762878,0.3443035118406792,0.005094731781967513,0.11362015890742413,0.06362015890742413,0.0,1.0,0.05652944724626543,0.6476350860937573,0.2222186360731222,1.0,0.013345725854106557,0.00016078569373538707,0.2944046971814436,0.6920887912707144,0.9999999999999999,0.6321252703450021,0.6321252703450021,2.837967006743478,0.02452900380089127,0.4583050373118938,0.15779603384075855,0.0,0.0,61.7646767849877,-7.701760236511479e-14,0.0,0.0,0.0,-1.1102230246251565e-15,0.0,-1.0,0.0,0.0,-6.938893903907228e-18,2.168404344971009e-19,0.0,0.0
omega_H=0; fixed chi,0.558153739641741,1506.456943293059,1.1086732807670305,0.0009780748330911729,0.006697844875700892,-0.3277766288802192,-0.7408936709012899,0.0389160406853748,-0.48797931636976916,-0.4265105350198378,1.0420548587001184,-0.0009780748330911729,-4.2755917873840685,-4.276569862217159,-inf,0.006697844875700892,-8.694132692946079,-8.693154618112988,-8.693154618112988,0.0322181958096739,-0.3344744737559201,1.1019754358913296,0.05068240592066142,0.001755890427834184,0.035220292761298254,0.023220292761298254,0.033758554155082984,0.025638219337542623,0.013638219337542622,0.013203878350409592,0.3430917962463583,0.005117844399209594,0.11322029276129825,0.06322029276129824,0.0,1.0,0.05658703391602527,0.6476156985816048,0.22221862876296503,1.0,0.013360056218612226,0.0001611703410035555,0.2934561741848413,0.6930225992555428,1.0,0.632086687276263,0.632086687276263,2.8378108672116946,0.0245532565051247,0.45894190904142135,0.15745920394575405,0.0,0.0,62.120874376890676,-7.685714044358694e-14,0.0,0.0,0.0,4.440892098500626e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; fixed chi,0.6976921745521764,1506.3174048581486,1.1156986838682739,0.0012232102785060838,0.008372306094626117,-0.32288945701787175,-0.7362098594926771,0.04247727720140121,-0.4861243111569093,-0.42468394105404833,1.041755482921118,-0.0012232102785060838,-4.270728371547959,-4.271951581826465,-inf,0.008372306094626117,-8.688216644823958,-8.686993434545453,-8.686993434545453,0.034104971106775094,-0.3312617631124979,1.1073263777736477,0.050014881537394,0.0017576245252261915,0.03482875736980615,0.022828757369806153,0.033375714214357304,0.025405706305936526,0.013405706305936526,0.012977449888040837,0.34190532536304896,0.005140676072710696,0.11282875736980616,0.06282875736980616,0.0,1.0,0.05664380805591215,0.6475965846211762,0.2222186215486656,1.0,0.013374185850708221,0.00016155031399993635,0.29252215194716297,0.6939421118881289,1.0,0.6320486486025387,0.6320486486025388,2.8376569475779685,0.024577165546752912,0.45957003808633695,0.15712944339901785,0.0,0.0,62.47404614861985,-7.5992597631247e-14,-3.885780586188048e-16,0.0,0.0,4.440892098500626e-16,0.0,-1.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0
omega_H=0; fixed chi,0.8372306094626116,1506.1778664232381,1.122631939345389,0.0014685861673743752,0.01004676731355134,-0.31805635127172394,-0.7315789103288362,0.046006415362718656,-0.48427182779292505,-0.4228886048266756,1.0414566304070911,-0.0014685861673743752,-4.265912627216934,-4.267381213384308,-inf,0.01004676731355134,-8.68236661439694,-8.680898028229565,-8.680898028229565,0.03595964804916732,-0.3281031185852753,1.1125851720318376,0.04936159019612903,0.0017593367671467218,0.034445328032612056,0.022445328032612056,0.033000844868715296,0.025178131573544427,0.013178131573544426,0.012755839628730836,0.3407434182806426,0.005163230374409461,0.11244532803261206,0.06244532803261206,0.0,1.0,0.0566997858259633,0.6475777387719257,0.22221861442847796,1.0,0.01338811871039647,0.00016192569030970902,0.2916023754691954,0.6948475801300984,1.0,0.6320111434966046,0.6320111434966046,2.837505203318476,0.024600737792998942,0.46018958204437127,0.1568065712429393,0.0,0.0,62.82423687894335,-7.600560805731682e-14,0.0,0.0,0.0,-7.771561172376096e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; fixed chi,0.9767690443730468,1506.0383279883279,1.1294750056586649,0.001714199479431537,0.011721228532476561,-0.3132761957541928,-0.7269997262613688,0.04950413471638698,-0.4824218166432425,-0.42112386333551843,1.041158289013521,-0.001714199479431537,-4.261143541670918,-4.262857741150349,-inf,0.011721228532476561,-8.676581230984592,-8.67486703150516,-8.67486703150516,0.03778290618391042,-0.32499742428666933,1.1177537771261883,0.04872213874857885,0.0017610275734247104,0.03406978790260538,0.022069787902605376,0.0326337315935208,0.024955359290701473,0.012955359290701473,0.012538914760940045,0.33960541788668297,0.00518551083308193,0.11206978790260538,0.06206978790260538,0.0,1.0,0.05675498297339902,0.647559155732289,0.22221860740069643,1.0,0.013401858657415708,0.00016229654592640375,0.2906965953691579,0.6957392494275,1.0,0.6319741614078226,0.6319741614078226,2.83735559105724,0.024623979934761626,0.4608006949339861,0.15649041256553028,0.0,0.0,63.17149060295022,-7.603509835640843e-14,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; fixed chi,1.0,1506.0150970327009,1.1306056455532398,0.0017551130797597546,0.012,-0.31248543990285976,-0.7262423152161624,0.050083445838224105,-0.48211405551394787,-0.42083298690179505,1.0411086686584654,-0.0017551130797597546,-4.260354025020226,-4.262109138099986,-inf,0.012,-8.675624238778003,-8.673869125698243,-8.673869125698243,0.03808344583822411,-0.3244854399028598,1.1186056455532398,0.04861699720811828,0.0017613070135431915,0.03400801763340804,0.022008017633408043,0.03257335149580452,0.024918728271650092,0.012918728271650092,0.012503246086259523,0.33941823525275167,0.005189193834066146,0.11200801763340805,0.06200801763340805,0.0,1.0,0.05676409771403027,0.6475560871029431,0.22221860623953646,1.0,0.013404127675971505,0.0001623578538386113,0.29054713909133967,0.6958863753788501,0.9999999999999999,0.6319680545315997,0.6319680545315997,2.8373308870055807,0.02462781779242878,0.46090162757030856,0.15643841705503517,0.0,0.0,63.22902075228222,-7.591388455352455e-14,0.0,0.0,0.0,7.771561172376096e-16,0.0,-1.0,0.0,0.0,2.8256423173500522e-09,-3.0790862481228087e-12,1.561167820018916e-09,1.5439510780979049e-09
omega_H=0; fixed chi,1.116307479283482,1505.8987895534174,1.1362297873930032,0.001960047252267571,0.013395689751401783,-0.30854790430826423,-0.722471239551614,0.05297109619210866,-0.4805742293247499,-0.4193890717785776,1.0408604469241176,-0.001960047252267571,-4.256420129982477,-4.258380177234744,-inf,0.013395689751401783,-8.67085916065419,-8.668899113401922,-8.668899113401922,0.039575406440706874,-0.321943594059666,1.1228340976416014,0.048096148043233616,0.0017626973535152719,0.03370192764413881,0.02170192764413881,0.03227416732930556,0.024737258428608744,0.012737258428608744,0.012326547197405446,0.33849068983072367,0.005207520934761254,0.11170192764413882,0.061701927644138815,0.0,1.0,0.056809414846365515,0.6475408303350569,0.22221860046365408,1.0,0.01341540945455489,0.0001626629552954309,0.2898045677188069,0.6966173598713427,0.9999999999999999,0.631937692052935,0.631937692052935,2.8372080685276244,0.02464689849251,0.46140352730160733,0.1561807982466502,0.0,0.0,63.5158506271593,-7.66504915095112e-14,-5.551115123125783e-17,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
