scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_automated_research_services,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,human_to_automated_service_ratio,singularity_time_estimate,monopoly_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,research_human_kkt_slack,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
omega_H=0; matched initial g_B,0.0,1528.801258181119,1.0796090227264181,0.0,0.0,-0.34789803713190276,-0.7592098759591419,0.024335829077955007,-0.49542559465934777,-0.434143423946931,1.0432578495245561,-0.0,-4.295543451887066,-4.295543451887066,-inf,0.0,-8.783491564387575,-8.783491564387575,-8.783491564387575,0.024335829077955007,-0.34789803713190276,1.0796090227264181,0.05350879366552225,0.001637075638675661,0.036872114391890524,0.024872114391890524,0.03542480177436176,0.026615817800557107,0.014615817800557106,0.014159143228165139,0.34809731633906216,0.004702925193140751,0.11487211439189052,0.06487211439189051,0.0,1.0,0.05635164395932727,0.6476949465336932,0.2222186585968281,1.0,0.013301489188464414,0.00014955783354783438,0.2973559082676182,0.6891930447103695,0.9999999999999999,0.6322443985472507,0.6322443985472507,2.838449208039987,0.024454112264284854,0.45678351694495223,0.1590051163964564,0.0,0.0,60.677469816150655,-7.638334409421077e-14,0.0,0.0,0.0,8.881784197001252e-16,0.0,-1.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0
omega_H=0; matched initial g_B,0.1415556720538073,1528.6597025090653,1.0871309670897804,0.0002318619179489274,0.0016986680646456879,-0.3427093068044254,-0.7542253531589783,0.02808515735145395,-0.49353442057936364,-0.4321569324098571,1.0429681263334487,-0.0002318619179489274,-4.290430461730148,-4.290662323648097,-inf,0.0016986680646456879,-8.777202945407883,-8.776971083489933,-8.776971083489933,0.02638648928680826,-0.3444079748690711,1.0854322990251348,0.05276940588916454,0.0016388319086624093,0.03643956244410728,0.02443956244410728,0.03500165957057627,0.026358342911092514,0.014358342911092514,0.013908373276416697,0.34678655286093113,0.004725765446042586,0.11443956244410727,0.06443956244410727,0.0,1.0,0.05641219467821082,0.6476745611250024,0.22221865093437163,1.0,0.013316552336095657,0.0001499380869472397,0.2963477246777135,0.6901857848992436,1.0,0.6322038295655987,0.6322038295655987,2.8382849765063822,0.02447961809830559,0.4574541359449639,0.1586389428963298,0.0,0.0,61.048370630697065,-7.678346890596655e-14,0.0,0.0,0.0,-7.771561172376096e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,0.2831113441076146,1528.5181468370115,1.0945494150875847,0.0004639708324423289,0.0033973361292913757,-0.3375811439074926,-0.7493000764133375,0.031798443729739,-0.491646064550991,-0.43020554341746003,1.0426790100696732,-0.0004639708324423289,-4.285371035781244,-4.285835006613687,-inf,0.0033973361292913757,-8.770988322247208,-8.770524351414766,-8.770524351414766,0.028401107600447624,-0.340978480036784,1.0911520789582934,0.052046441973834484,0.0016405654594393,0.03601632992621125,0.024016329926211253,0.034587687099739556,0.02610656414714363,0.01410656414714363,0.01366316201012463,0.345504030079428,0.004748325103652627,0.11401632992621125,0.06401632992621124,0.0,1.0,0.056471855208506505,0.6476544754131361,0.22221864337651667,1.0,0.013331395650050216,0.0001503136020482792,0.2953552870291412,0.6911630037187602,0.9999999999999999,0.6321638570103005,0.6321638570103006,2.83812317801526,0.024504747339649136,0.45811522235648,0.15828065556489712,0.0,0.0,61.41601448387947,-7.614991536647464e-14,5.551115123125783e-17,0.0,0.0,-2.220446049250313e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,0.42466701616142194,1528.3765911649575,1.1018666577090381,0.0006963235596666035,0.005096004193937064,-0.3325122478429359,-0.7444327661274661,0.03547648282297183,-0.4897604689865833,-0.4282884815554603,1.0423904863064815,-0.0006963235596666035,-4.280363989278811,-4.281060312838478,-inf,0.005096004193937064,-8.764846096208062,-8.764149772648397,-8.764149772648397,0.03038047862903477,-0.337608252036873,1.0967706535151012,0.05133942597507196,0.0016422767442352483,0.03560215538589694,0.023602155385896943,0.03418262554302166,0.02586031712437098,0.01386031712437098,0.013423348690921877,0.3442489557148392,0.004770607773740463,0.11360215538589695,0.06360215538589695,0.0,1.0,0.05653064382930622,0.6476346832441335,0.22221863592130148,1.0,0.013346023606949808,0.00015068445960775753,0.2943783105010117,0.6921249814324307,1.0,0.6321244686343648,0.6321244686343648,2.837963762173466,0.024529507758685357,0.45876695306285287,0.15793004450836576,0.0,0.0,61.78045054028852,-7.620282443249193e-14,0.0,0.0,0.0,8.881784197001252e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,0.5662226882152293,1528.2350354929038,1.1090849198414214,0.0009289169791298818,0.006794672258582751,-0.32750135434345873,-0.7396221786685309,0.03912004640869449,-0.48787757781936514,-0.4264049937352408,1.0421025410234632,-0.0009289169791298818,-4.275408171559309,-4.276337088538439,-inf,0.006794672258582751,-8.758774713529528,-8.757845796550399,-8.757845796550399,0.03232537415011173,-0.3342960266020415,1.1022902475828387,0.05064789976060023,0.0016439662045442175,0.03519678689288854,0.02319678689288854,0.03378622554970733,0.02561944358464574,0.01361944358464574,0.013188778577866156,0.34302056634208644,0.004792617020242244,0.11319678689288853,0.06319678689288853,0.0,1.0,0.0565885783344676,0.6476151786273959,0.22221862856681124,1.0,0.01336044056564209,0.0001510507386655148,0.29341651678175595,0.6930719919139365,1.0000000000000002,0.6320856525159066,0.6320856525159066,2.837806679937965,0.024553906918451197,0.4594095007792234,0.1575869071402244,0.0,0.0,62.14172712657694,-7.739089317310155e-14,5.551115123125783e-17,0.0,0.0,3.3306690738754696e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,0.7077783602690366,1528.09347982085,1.116206362732597,0.001161748032029361,0.008493340323228439,-0.3225472341555785,-0.7348671050561025,0.042729884279644526,-0.4859973364509143,-0.4245543483635381,1.0418151605918333,-0.001161748032029361,-4.270502464789664,-4.271664212821693,-inf,0.008493340323228439,-8.752772663750768,-8.75161091571874,-8.75161091571874,0.034236543956416086,-0.33104057447880697,1.1077130224093688,0.049971422185826495,0.0016456342705247204,0.03479998160724123,0.02279998160724123,0.033398246806759214,0.025383791124045096,0.013383791124045096,0.012959302665704886,0.3418181260825492,0.004814356363674228,0.11279998160724124,0.06279998160724123,0.0,1.0,0.056645676049439736,0.6475959557300219,0.2222186213111764,1.0,0.01337465077125486,0.0001514125165934392,0.29246963387097663,0.6940043028411749,0.9999999999999999,0.6320473970468753,0.6320473970468754,2.8376518835686793,0.024577952181869755,0.4600430341826819,0.15725104786165445,0.0,0.0,62.499891749087986,-7.664160105169682e-14,0.0,0.0,0.0,7.771561172376096e-16,0.0,-1.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0
omega_H=0; matched initial g_B,0.8493340323228439,1527.9519241487963,1.123233086340048,0.001394813719673963,0.010192008387874128,-0.31764869178200705,-0.7301663697119013,0.046306725052597586,-0.48411969170092284,-0.42273583455034613,1.0415283317603667,-0.001394813719673963,-4.265645782758031,-4.267040596477705,-inf,0.010192008387874128,-8.746838478148605,-8.745443664428931,-8.745443664428931,0.03611471666472346,-0.3278407001698812,1.1130410779521738,0.049309568314687593,0.001647281361382114,0.03441150537100587,0.022411505371005867,0.033018457631714196,0.02515321291363115,0.01315321291363115,0.012734777407041875,0.34064092536668444,0.004835829281548864,0.11241150537100587,0.06241150537100587,0.0,1.0,0.0567019538473566,0.64757700887139,0.2222186141525713,1.0,0.013388658359074643,0.00015176986914261427,0.2915373958891914,0.6949221758825911,0.9999999999999998,0.632009690922271,0.632009690922271,2.8374993265833544,0.024601650718654278,0.46066771803717604,0.1569222777587425,0.0,0.0,62.854991110990014,-7.77344768415622e-14,-4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,0.9908897043766511,1527.8103684767423,1.1301671315726594,0.0016281111019599457,0.011890676452519814,-0.31280456428026526,-0.7255188292656065,0.04985127694036823,-0.48224459175911855,-0.42094876135294057,1.0412420416419796,-0.0016281111019599457,-4.260837069719695,-4.262465180821655,-inf,0.011890676452519814,-8.740970728245165,-8.739342617143205,-8.739342617143205,0.03796060048784841,-0.32469524073278505,1.1182764551201396,0.04866192868295971,0.0016489078857345955,0.03403113232179158,0.022031132321791578,0.03264663458744964,0.02492756745575697,0.012927567455756971,0.012515064475027149,0.3394882797630048,0.0048570392087929825,0.11203113232179158,0.06203113232179158,0.0,1.0,0.05675742816443513,0.6475583325179735,0.22221860708921296,1.0,0.013402467358258483,0.0001521228704886886,0.2906195428950748,0.6958258668761781,1.0,0.6319725231298283,0.6319725231298284,2.837348963714459,0.024625009511913053,0.46128371331342466,0.1566004143154656,0.0,0.0,63.20707112893549,-7.603271311162896e-14,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
omega_H=0; matched initial g_B,1.0,1527.801258181119,1.1306102683985022,0.001643133613985693,0.012,-0.31249464089850004,-0.7252215165816686,0.050078309038764646,-0.48212399930259875,-0.42083480910503757,1.0412236346236012,-0.001643133613985693,-4.2605292072727945,-4.26217234088678,-inf,0.012,-8.740595331762236,-8.738952198148251,-8.738952198148251,0.03807830903876465,-0.32449464089850005,1.1186102683985022,0.0486207250957848,0.001649011871266654,0.03400692448028437,0.02200692448028437,0.03262297237259205,0.02491321098224697,0.01291321098224697,0.012501085757676833,0.3394149226675284,0.004858395318351788,0.11200692448028438,0.06200692448028437,0.0,1.0,0.05676097126269541,0.6475571396748925,0.22221860663784748,1.0,0.013403349374660284,0.00015214544177908813,0.29056095801771237,0.6958835471658482,1.0,0.631970149253994,0.6319701492539941,2.837339360705117,0.024626501371345637,0.4613230639213681,0.15657993206561838,0.0,0.0,63.22962808837983,-7.662685590215101e-14,0.0,0.0,0.0,3.3306690738754696e-16,0.0,-1.0,0.0,0.0,3.333987391718196e-10,-3.389864344088833e-13,1.8419930164492726e-10,1.8216875924403908e-10
omega_H=0; matched initial g_B,1.0616675404035547,1527.7395906407155,1.1336000219654263,0.0017448457754661508,0.012740010484842657,-0.31040255130463107,-0.7232146583506669,0.05161166047183252,-0.4813079802638182,-0.42006680434145827,1.0410990946693701,-0.0017448457754661508,-4.258450379711235,-4.260195225486701,-inf,0.012740010484842657,-8.738061330933114,-8.736316485157648,-8.736316485157648,0.038871649986989866,-0.3231425617894737,1.1208600114805836,0.04834331530754836,0.001649713560356436,0.03384391608816286,0.02184391608816286,0.03246364270466218,0.024816551690287625,0.012816551690287625,0.012406970775202808,0.33892095784291776,0.00486754661280357,0.11184391608816287,0.061843916088162865,0.0,1.0,0.056784869038152254,0.6475490940904887,0.22221860359270537,1.0,0.013409298618082321,0.0001522977622204858,0.29016593111697825,0.696272472502719,0.9999999999999999,0.6319541377444379,0.631954137744438,2.837274591249502,0.024636563637479687,0.4615885020293479,0.15644201723706416,0.0,0.0,63.381993021827185,-7.453130994317103e-14,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-1.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0
