sigma_xl,time,output_pc_log_gap,wage_log_gap,output_pc_growth,wage_growth,net_interest,labor_share,ai_ces_share
0.99,0.0,-0.013667752667027189,-0.024602854985522837,0.010051681457509537,0.010059004093950673,0.04949742456086152,0.5301707151573744,0.20870042513824713
0.99,500.0,-0.013238431711892318,-0.01972365218830685,0.010873900329472993,0.010882725538165708,0.05087563069800305,0.5325351690645772,0.2051713894558548
0.99,1000.0,-0.014716915474357606,-0.016840964265943725,0.01085372254071798,0.010862344056853825,0.05085538688108575,0.5348627180964144,0.20169743567699341
0.99,1500.0,-0.026035742728705458,-0.023897972448827076,0.010834451474999191,0.010842878403079775,0.05083605504287653,0.5371470705197989,0.19828795444806122
0.99,2000.0,-0.04682884681322008,-0.0405249264398293,0.010815805108208183,0.010824043745806818,0.0508173508053751,0.539389573897147,0.19494093448186994
0.99,2500.0,-0.07680560301071893,-0.06642826955416936,0.010797709978075661,0.010805765889079711,0.05079920016070513,0.5415912114898053,0.19165490822417114
1.0,0.0,-5.551115123125783e-17,2.220446049250313e-16,0.010866666666666667,0.010866666666666667,0.05086666666666664,0.5359999999999999,0.2
1.0,500.0,0.0,8.881784197001252e-16,0.010866666666666667,0.010866666666666667,0.05086666666666664,0.5359999999999999,0.2
1.0,1000.0,0.0,0.0,0.010866666666666667,0.010866666666666667,0.05086666666666664,0.5359999999999999,0.2
1.0,1500.0,-3.552713678800501e-15,-1.7763568394002505e-15,0.010866666666666667,0.010866666666666667,0.05086666666666627,0.5359999999999999,0.2
1.0,2000.0,0.0,0.0,0.010866666666666667,0.010866666666666667,0.05086666666666664,0.5359999999999999,0.2
1.0,2500.0,-7.105427357601002e-15,-3.552713678800501e-15,0.010866666666666667,0.010866666666666667,0.05086666666666592,0.5359999999999999,0.2
1.01,0.0,0.013412676525935086,0.023731058491250456,0.011674979950035809,0.011665089626352675,0.052228672290685924,0.5415592848213222,0.1917025599681756
1.01,500.0,0.012756224862564558,0.01885653453055003,0.010859064850135283,0.010850557273483991,0.05085738274367403,0.53927975958558,0.19510483643943266
1.01,1000.0,0.014094850668501024,0.01589048531758408,0.010879649863116906,0.010870938461524229,0.050877906529550695,0.536963324802768,0.19856220178691342
1.01,1500.0,0.025807786074235395,0.023196011201639166,0.010900626952789629,0.01089170780511874,0.05089881863163914,0.534601915204395,0.20208669372478352
1.01,2000.0,0.04815735307711577,0.0410328263956643,0.010922213627240628,0.010913080687718745,0.05092033734825156,0.5321948248302777,0.2056793659249586
1.01,2500.0,0.0814678819753496,0.06972204671321336,0.010944478391577396,0.010935124942028106,0.0509425312408401,0.5297410624831631,0.20934169778632358
