category,scenario,sigma_xl,sigma_hm,metric,value,relation,threshold,status,details
solver,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,solver_success,1.0,=,1.0,pass,
solver,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_rms_residual,9.171512530016034e-07,<,1e-05,pass,
equations,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_static_equation_error,5.2949644668842666e-11,<,1e-08,pass,independent reconstruction
equations,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_saved_rate_error,7.563394355258879e-16,<,2e-05,pass,independent RHS
equations,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_independent_dynamic_error,7.354072910966541e-07,<,2e-05,pass,centered seven-point derivatives
monopoly,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_monopoly_foc_log_error,3.0411229090532288e-12,<,1e-09,pass,
monopoly,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,minimum_monopoly_soc_margin,0.010905535388592694,>,0.0,pass,
terminal,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_imposed_terminal_error,1.787459069646502e-14,<,1e-07,pass,C/Y and X/(qA^2)
terminal,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_nonimposed_limit_error,0.00037487276964254246,<,0.0005,pass,"growth, r, and s_X"
implementation,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,maximum_fallback_flag,0.0,=,0.0,pass,
implementation,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,bounded_exp_clipping_count,0.0,=,0.0,pass,
transversality,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,household_tvc_log_proxy,-138.44295883239462,<,-20.0,pass,finite-horizon diagnostic
transversality,near_unit_sigma_xl_090_hm_2_T_5000,0.9,2.0,developer_tvc_log_proxy,-147.35558294805645,<,-20.0,pass,finite-horizon diagnostic
solver,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,solver_success,1.0,=,1.0,pass,
solver,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,maximum_rms_residual,9.237830689704187e-07,<,1e-05,pass,
equations,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,maximum_static_equation_error,5.292477567309106e-11,<,1e-08,pass,independent reconstruction
equations,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,maximum_saved_rate_error,7.563394355258879e-16,<,2e-05,pass,independent RHS
equations,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,maximum_independent_dynamic_error,7.858275542938636e-07,<,2e-05,pass,centered seven-point derivatives
monopoly,near_unit_sigma_xl_090_hm_2_T_5300,0.9,2.0,maximum_monopoly_foc_log_error,7.716494110354688e-12,<,1e-09,pass,
