scenario,time,population_path_error,labor_productivity_path_error,effective_labor_identity_error,labor_market_error_independent,final_production_log_error_independent,inference_identity_log_error_independent,automated_service_log_error_independent,research_ces_log_error_independent,capability_law_log_error_independent,capital_price_error_independent,net_interest_error_independent,wage_foc_log_error_independent,ai_price_foc_log_error_independent,ai_share_error_independent,research_price_log_error_independent,human_demand_log_error_independent,automated_service_demand_log_error_independent,automated_share_quantity_error_independent,automated_share_expenditure_error_independent,research_scale_foc_log_error_independent,research_compute_foc_log_error_independent,research_human_foc_log_error_independent,resource_constraint_error_independent,profit_shadow_ratio_error_independent,static_max_abs_error,monopoly_foc_log_error_independent,monopoly_soc_margin_independent,rhs_capital_growth,rhs_capability_growth,rhs_consumption_growth,rhs_shadow_growth,stored_capital_rate_error,stored_capability_rate_error,stored_consumption_rate_error,stored_shadow_rate_error,ai_share_independent,automated_research_share_independent,inference_output_share_independent,research_output_share_independent,human_population_share_independent,profit_shadow_ratio_independent,net_interest_rate_independent,bounded_exp_min_argument,bounded_exp_max_argument,bounded_exp_clipping_count,fd_capital_growth_residual,fd_capability_growth_residual,fd_consumption_growth_residual,fd_shadow_growth_residual
near_unit_sigma_xl_090_hm_2_T_5000,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,1.5233040523421337e-16,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-1.3877787807814457e-17,-8.326672684688674e-17,-1.6653345369377348e-16,0.0,6.661338147750939e-16,0.0,3.469446951953614e-18,1.7763568394002505e-15,4.440892098500626e-16,0.11636526081623139,-0.0013438334802891444,0.0019357820679810518,0.0037108079226665022,0.002446037894310603,0.0,0.0,0.0,-3.469446951953614e-18,0.2843912077302219,0.09204272474694455,0.021155894411999127,2.5792375982585895e-05,0.0005303791278934266,0.029229135097145253,0.031710807922666506,-11.961337987686418,0.6395447775604426,0.0,,,,
near_unit_sigma_xl_090_hm_2_T_5000,2.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.0,0.0,3.552713678800501e-15,-4.440892098500626e-16,0.0,0.0,9.020562075079397e-17,0.0,5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,-2.7755575615628914e-17,-6.938893903907228e-17,-2.7755575615628914e-16,-5.551115123125783e-16,6.661338147750939e-16,0.0,3.469446951953614e-18,3.552713678800501e-15,9.28510740516586e-16,0.11642452324257495,0.0006685747806025807,0.0019353492520696636,0.005006239264989783,0.0035608789292316083,0.0,0.0,0.0,-3.469446951953614e-18,0.2844830847629698,0.09161238293392167,0.021176408050324783,2.5533025221001974e-05,0.0005278314910130864,0.029409899944399884,0.03300623926498979,-11.955714714643076,0.6335124363208183,0.0,,,,
near_unit_sigma_xl_090_hm_2_T_5000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,5.551115123125783e-17,-8.881784197001252e-16,0.0,0.0,-4.440892098500626e-15,0.0,1.8041124150158794e-16,-6.938893903907228e-17,-5.551115123125783e-16,0.0,1.5543122344752192e-15,2.220446049250313e-16,-3.469446951953614e-18,4.440892098500626e-15,-9.853229343548264e-16,0.1164665333426683,0.002418027043715104,0.001935264264529023,0.006129079220220511,0.00452848619278453,0.0,0.0,0.0,3.469446951953614e-18,0.284548225839941,0.09130843139229211,0.02119095763105579,2.533087287579992e-05,0.000525620469775106,0.029565251838571248,0.034129079220220515,-11.95022701206999,0.6253997309337408,0.0,,,,
near_unit_sigma_xl_090_hm_2_T_5000,6.0,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,-2.220446049250313e-16,0.0,5.551115123125783e-17,0.0,-2.6645352591003757e-15,0.0,1.249000902703301e-16,-8.326672684688674e-17,5.551115123125783e-17,-1.1102230246251565e-16,1.5543122344752192e-15,-2.220446049250313e-16,0.0,3.552713678800501e-15,7.355227538141662e-16,0.11649357329925618,0.0039311048504370935,0.0019354777039665943,0.007097779940582756,0.005364117680252797,0.0,0.0,0.0,0.0,0.2845901589876021,0.09111327793382974,0.0212003259561398,2.5177316081560207e-05,0.0005236972684838887,0.029698392716734714,0.03509777994058276,-11.944858831199998,0.615486098166107,0.0,-5.9313572367894474e-08,1.0208462699300147e-10,-4.327774203415069e-08,-3.634644489027006e-08
near_unit_sigma_xl_090_hm_2_T_5000,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,-6.938893903907228e-17,0.0,0.0,0.0,-3.552713678800501e-15,0.0,1.942890293094024e-16,0.0,-6.661338147750939e-16,-7.771561172376096e-16,1.3322676295501878e-15,0.0,-6.938893903907228e-18,3.552713678800501e-15,3.3306690738754696e-16,0.11650769084710924,0.005234063258247365,0.0019359460746093931,0.007930192174239521,0.006082707830359777,0.0,0.0,0.0,6.938893903907228e-18,0.284612053773478,0.09101153944136325,0.021205218222806112,2.5065003348432915e-05,0.0005220192113749994,0.029812245657374618,0.035930192174239525,-11.93959538039222,0.6040213288665848,0.0,-1.3254439127328987e-07,1.7891506657284617e-10,-8.554562077982275e-08,-7.281717203690141e-08
near_unit_sigma_xl_090_hm_2_T_5000,10.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1.5265566588595902e-16,-8.881784197001252e-16,-5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,-2.7755575615628914e-17,-1.3877787807814457e-17,2.220446049250313e-16,3.3306690738754696e-16,1.3322676295501878e-15,2.220446049250313e-16,-6.938893903907228e-18,1.7763568394002505e-15,1.8492152253912764e-15,0.11651068402577353,0.006351629760555665,0.0019366317630731438,0.008642897298322287,0.006698243481024147,0.0,0.0,0.0,6.938893903907228e-18,0.28461669600217065,0.09098998231936223,0.021206255567149352,2.498772727177282e-05,0.0005205495943829686,0.029909410999321918,0.03664289729832229,-11.934423374432724,0.5912240864632288,0.0,2.6041902106629933e-07,-3.7041068281194744e-10,1.7163709076575828e-07,1.4557762514477018e-07
near_unit_sigma_xl_090_hm_2_T_5000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,1.942890293094024e-16,1.3877787807814457e-16,-2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0,-3.469446951953614e-18,1.7763568394002505e-15,1.7277845820728999e-15,0.11650414834224751,0.007307152968319852,0.001937501777876309,0.00925134749600632,0.007223845259295935,0.0,0.0,0.0,3.469446951953614e-18,0.28460655963517795,0.09103705886829273,0.021203990541370205,2.494015999738974e-05,0.0005192564128095254,0.029992225344028397,0.03725134749600632,-11.929330851857616,0.5772879618072089,0.0,-1.3539298838842473e-07,1.793974402624493e-10,-8.937666322837712e-08,-7.636621219067607e-08
near_unit_sigma_xl_090_hm_2_T_5000,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,-5.551115123125783e-17,0.0,-8.881784197001252e-16,0.0,8.326672684688674e-17,0.0,-5.551115123125783e-17,4.440892098500626e-16,4.440892098500626e-16,-1.1102230246251565e-16,0.0,8.881784197001252e-16,-4.718447854656915e-16,0.11648947039356988,0.00812186718766271,0.001938527737175304,0.009769480503614363,0.007671406375051329,0.0,0.0,0.0,0.0,0.2845837960201246,0.09114286505843056,0.02119890428097077,2.4917793374137812e-05,0.0005181122705313266,0.030062737534170762,0.03776948050361437,-11.92430723306672,0.5623808392290215,0.0,1.3582139052337183e-08,-2.4313052873065066e-11,1.0026905337273684e-08,8.364309749160637e-09
near_unit_sigma_xl_090_hm_2_T_5000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,2.7755575615628914e-17,-4.440892098500626e-16,0.0,0.0,-1.7763568394002505e-15,0.0,1.942890293094024e-16,0.0,-1.1102230246251565e-16,-6.661338147750939e-16,4.440892098500626e-16,-1.1102230246251565e-16,6.938893903907228e-18,1.7763568394002505e-15,9.194034422677078e-16,0.1164678457119348,0.008814767441124825,0.0019396853617506802,0.01020968015082236,0.008051534417303986,0.0,0.0,0.0,-6.938893903907228e-18,0.28455026095420377,0.09129895094474284,0.02119141225540788,2.4916823668688393e-05,0.000517093834385842,0.030122727485780234,0.038209680150822364,-11.919343278490178,0.5466472311339718,0.0,1.5350111227420415e-07,-1.8793646651936446e-10,9.877090976877223e-08,8.487440920391942e-08
near_unit_sigma_xl_090_hm_2_T_5000,18.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,-1.1102230246251565e-16,-1.5265566588595902e-16,-7.771561172376096e-16,-7.771561172376096e-16,-4.440892098500626e-16,-1.1102230246251565e-16,1.0408340855860843e-17,1.7763568394002505e-15,3.122502256758253e-16,0.11644031753825243,0.009402983683903653,0.0019409535881732608,0.01058304359901787,0.008373765450327288,0.0,0.0,0.0,-1.0408340855860843e-17,0.28450757440313346,0.0914980001184411,0.021181877411195964,2.49339896165584e-05,0.0005161809641840452,0.030173759474362474,0.038583043599017874,-11.91443083714483,0.5302130769418689,0.0,-1.3712471535858028e-07,1.6183712551499918e-10,-8.834984126758483e-08,-7.61795695726486e-08
