alpha,eta,sigma_xl,sigma_hm,horizon,solver_tolerance,scenario,time,log_capital,log_capability,log_labor_productivity,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_research_price,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_effective_production_labor,log_automated_research,log_automated_research_services,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,profit_shadow_ratio,ai_labor_ratio,ai_effective_labor_ratio,monopoly_root_fallback,labor_root_fallback,human_to_automated_research_ratio,human_to_automated_service_ratio,log_output_per_capita,log_output_per_effective_person,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,capital_price_error,wage_foc_log_error,ai_price_foc_log_error,ai_share_definition_error,research_price_log_error,human_conditional_demand_log_error,automated_service_demand_log_error,automated_share_definition_error,research_scale_foc_log_error,final_production_log_error,inference_identity_log_error,research_ces_log_error,research_compute_foc_log_error,research_human_foc_log_error,research_human_kkt_slack,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,output_per_effective_person_growth
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,0.0,1.0796090227264181,0.0,0.0,0.0,-0.561796572223538,-0.6395447775604426,-0.31629735070229054,-1.0038333256746397,-1.0508660383234132,2.1979546534334684,-0.0,-0.28585816131247005,-4.17213406741775,-4.17213406741775,-7.541918471500728,-0.0005305198286551103,-0.0005305198286551103,-10.88172896496,-10.88172896496,-8.210368393337705,-0.0013438334802891444,0.0019357820679810518,0.0037108079226665022,-0.008289192077333498,0.0024460378943105994,0.007183492693450727,-0.004816507306549273,-0.004891403520188298,0.08171080792266651,0.031710807922666506,0.0005303791278934267,0.9994696208721066,0.2843912077302219,0.8889699788507266,0.11636526081623139,0.09204272474694454,0.021155894411999127,2.5792375982585895e-05,0.19650442040300173,0.7823138928090165,1.0,0.47945789082075124,0.47971232022279087,9.006573084009041,0.16938621476724952,0.723794745950775,0.1792177377630878,0.029229135097145257,0.015427501545526365,0.015427501545526365,0.0,0.0,28.213779503005238,28.213779503005238,-0.31629735070229054,-0.31629735070229054,-0.561796572223538,1.0796090227264181,4.440892098500626e-16,0.0,1.5233040523421337e-16,0.0,5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,0.0,-1.6653345369377348e-16,-1.1102230246251565e-16,0.0,1.7763568394002505e-15,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004816507306549273
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,2.0,1.0789791278640215,0.0038710703078801826,0.0,0.024,-0.5530496815789279,-0.6335124363208183,-0.3011977497578229,-0.980986361123806,-1.059897384635033,2.1934374246656487,-0.0038710703078801826,-0.29441565288108923,-4.152194224221608,-4.156065294529489,-7.522733471004423,0.023472029156907027,0.023472029156907027,-10.876735586779054,-10.872864516471173,-8.1921311023274,0.0006685747806025807,0.0019353492520696636,0.005006239264989783,-0.0069937607350102175,0.003560878929231605,0.00791610825101692,-0.00408389174898308,-0.0041399427914314835,0.08300623926498979,0.03300623926498979,0.0005278314910130864,0.9994721685089869,0.28448308476296985,0.8888982126795913,0.11642452324257496,0.09161238293392164,0.021176408050324783,2.5533025221001974e-05,0.20143822712193693,0.7773598318025172,1.0,0.4793963332088102,0.47964950732342443,9.000755290426437,0.169427258740865,0.7200435258317536,0.1811154702618103,0.029409899944399888,0.015364951293352537,0.015364951293352537,0.0,0.0,28.617033451674274,28.506469042549487,-0.3251977497578229,-0.3251977497578229,-0.5770496815789279,1.0549791278640215,9.28510740516586e-16,0.0,1.457167719820518e-16,0.0,5.551115123125783e-17,0.0,-1.7763568394002505e-15,0.0,0.0,-2.7755575615628914e-16,-6.661338147750939e-16,0.0,3.552713678800501e-15,-5.551115123125783e-16,6.661338147750939e-16,0.0,0.0,0.0,5.456938231753611e-07,-1.1043590161276262e-09,3.8497993081441917e-07,3.154118716468951e-07,-0.00408389174898308
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,4.0,1.0821074599852503,0.007741629719579715,0.0,0.048,-0.541887046859424,-0.6253997309337408,-0.28463291769822285,-0.9578035514826202,-1.0674258094891391,2.1891089898927594,-0.007741629719579715,-0.30160952814939745,-4.131072003108249,-4.138813632827829,-7.502931146013597,0.04747424134336109,0.04747424134336109,-10.868119552084739,-10.86037792236516,-8.172997876508168,0.002418027043715104,0.001935264264529023,0.006129079220220511,-0.005870920779779489,0.004528486192784533,0.008600086679651037,-0.0033999133203489636,-0.003438361712321869,0.08412907922022052,0.034129079220220515,0.0005256204697751063,0.9994743795302249,0.284548225839941,0.8888473302605794,0.1164665333426683,0.09130843139229229,0.02119095763105579,2.533087287579992e-05,0.20561200817550854,0.7731717033205601,1.0000000000000002,0.47935268868723946,0.47960477877636637,8.996635009706349,0.16945635368170464,0.7167521435893797,0.18272635717967814,0.029565251838571244,0.015320764030792033,0.015320764030792033,0.0,0.0,28.938949059156894,28.71577939412085,-0.33263291769822284,-0.33263291769822284,-0.5898870468594241,1.0341074599852502,-9.853229343548264e-16,0.0,5.551115123125783e-17,-8.881784197001252e-16,5.551115123125783e-17,0.0,-4.440892098500626e-15,0.0,0.0,-5.551115123125783e-16,0.0,0.0,3.552713678800501e-15,0.0,1.5543122344752192e-15,0.0,0.0,0.0,-7.334532138442151e-07,1.2487533932251105e-09,-5.02136944324251e-07,-4.1906841601047073e-07,-0.0033999133203489636
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,6.0,1.088494303836994,0.011612324913667774,0.0,0.07200000000000001,-0.5286356601519429,-0.615486098166107,-0.26679740303921873,-0.9343291392618311,-1.0736508314843205,2.1849436582985815,-0.011612324913667774,-0.30761981005859346,-4.108923800258307,-4.1205361251719745,-7.4825967724955875,0.0714761655542066,0.0714761655542066,-10.856364527363004,-10.844752202449337,-8.15309298316213,0.0039311048504370935,0.0019354777039665943,0.007097779940582756,-0.004902220059417244,0.005364117680252797,0.009191810629752661,-0.002808189370247339,-0.002831394518489072,0.08509777994058276,0.03509777994058276,0.0005236972684838888,0.9994763027315161,0.28459015898760215,0.8888145758130175,0.11649357329925619,0.09111327793382987,0.0212003259561398,2.5177316081560207e-05,0.20913900001939772,0.7696354967083808,0.9999999999999998,0.4793245934783065,0.4795757459865107,8.993984664017496,0.16947508056555363,0.7138543206142481,0.18408308450080457,0.029698392716734714,0.015292389910224633,0.015292389910224633,0.0,0.0,29.188294478167972,28.851310887220805,-0.33879740303921874,-0.33879740303921874,-0.6006356601519429,1.016494303836994,7.355227538141662e-16,0.0,-1.6653345369377348e-16,-8.881784197001252e-16,0.0,0.0,-2.6645352591003757e-15,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-15,0.0,3.552713678800501e-15,-1.1102230246251565e-16,1.5543122344752192e-15,0.0,0.0,0.0,5.304567533802318e-07,-8.68362935377287e-10,3.5905391624398847e-07,3.006640814694553e-07,-0.002808189370247339
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,8.0,1.097691731554173,0.015483710459068045,0.0,0.096,-0.5135868286592284,-0.6040213288665848,-0.2478656751792122,-0.9106029053613275,-1.0787513875630954,2.18091846711301,-0.015483710459068045,-0.31260843491838775,-4.085889949727236,-4.1013736601863044,-7.461806167358482,0.09547784448916045,0.09547784448916045,-10.841903648838047,-10.82641993837898,-8.132526240462985,0.005234063258247365,0.0019359460746093931,0.007930192174239521,-0.004069807825760479,0.006082707830359784,0.009701634706262438,-0.002298365293737562,-0.002308426156233667,0.08593019217423953,0.035930192174239525,0.0005220192113749995,0.999477980788625,0.284612053773478,0.8887974735524944,0.11650769084710924,0.09101153944136345,0.021205218222806112,2.5065003348432915e-05,0.21211684058919003,0.7666528761846555,1.0,0.4793099239717697,0.47956026364240306,8.992601444824741,0.16948485780542413,0.7112922141630283,0.1852165959244526,0.02981224565737461,0.015277596660724509,0.015277596660724509,0.0,0.0,29.373634359067967,28.922324501682862,-0.3438656751792122,-0.3438656751792122,-0.6095868286592284,1.001691731554173,3.3306690738754696e-16,0.0,-6.938893903907228e-17,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,-6.661338147750939e-16,0.0,0.0,3.552713678800501e-15,-7.771561172376096e-16,1.3322676295501878e-15,0.0,0.0,0.0,2.2945994717499252e-07,-3.3587725526210144e-10,1.5277543307865016e-07,1.2931700645382738e-07,-0.002298365293737562
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,10.0,1.1093067474580587,0.019356254308696103,0.0,0.12,-0.49699483016136436,-0.5912240864632288,-0.22799086421416898,-0.8866598371273559,-1.0828845361092552,2.177013315755178,-0.019356254308696103,-0.31671786823897397,-4.062093676813252,-4.081449931121948,-7.4406253922524055,0.11947931487264045,0.11947931487264045,-10.825116626974665,-10.805760372665969,-8.111392895808057,0.006351629760555665,0.0019366317630731438,0.008642897298322287,-0.003357102701677713,0.006698243481024154,0.010139217164316497,-0.0018607828356835034,-0.001859553916861434,0.0866428972983223,0.03664289729832229,0.0005205495943829688,0.999479450405617,0.2846166960021706,0.8887938474560824,0.11651068402577335,0.0909899823193622,0.021206255567149352,2.498772727177282e-05,0.21462853160317225,0.7641402251024069,1.0000000000000002,0.47930681367854566,0.479556446592303,8.99230822327999,0.16948693075430493,0.7090161544013733,0.18615519348075638,0.02990941099932191,0.015274462058167015,0.015274462058167015,0.0,0.0,29.50297880599087,28.937403018073265,-0.34799086421416897,-0.34799086421416897,-0.6169948301613644,0.9893067474580587,-3.712308238590367e-16,0.0,4.163336342344337e-17,-8.881784197001252e-16,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,1.7763568394002505e-15,3.3306690738754696e-16,1.3322676295501878e-15,0.0,0.0,0.0,-6.449592043974994e-07,8.698237080693311e-10,-4.2441476380203347e-07,-3.6190973783708363e-07,-0.0018607828356835034
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,12.0,1.1229908428950002,0.023230359456515033,0.0,0.14400000000000002,-0.4790843289333808,-0.5772879618072089,-0.20730880652194622,-0.8625310219064125,-1.0861896032305411,2.1732104109013664,-0.023230359456515033,-0.32007472551336735,-4.0376443289997255,-4.0608746884562406,-7.419112745145604,0.14348060872689264,0.14348060872689264,-10.806340008962616,-10.783109649506102,-8.089776668395041,0.007307152968319852,0.001937501777876309,0.00925134749600632,-0.002748652503993681,0.0072238452592959385,0.010513336067259876,-0.001486663932740124,-0.0014757765180510862,0.08725134749600633,0.03725134749600632,0.0005192564128095253,0.9994807435871905,0.28460655963517795,0.8888017650849666,0.11650414834224751,0.09103705886829293,0.021203990541370205,2.494015999738974e-05,0.21674576980500118,0.7620252994936313,1.0,0.47931360504443077,0.4795626210107344,8.992948501063005,0.169482404414199,0.7069829030072964,0.18692488164856041,0.029992225344028393,0.015281307374789046,0.015281307374789046,0.0,0.0,29.583810342679566,28.904488785662945,-0.35130880652194624,-0.35130880652194624,-0.6230843289333808,0.9789908428950002,1.7277845820728999e-15,0.0,2.7755575615628914e-17,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,8.881784197001252e-16,0.0,0.0,0.0,6.259979335350441e-07,-8.276041980632282e-10,4.0969828420805987e-07,3.4989560947131654e-07,-0.001486663932740124
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,14.0,1.1384412967665947,0.02710636558695831,0.0,0.168,-0.46004977438632333,-0.5623808392290215,-0.18593751994512947,-0.8382435042956803,-1.0887876421814595,2.16949432038848,-0.02710636558695831,-0.3227891744342823,-4.01263693785792,-4.039743303444878,-7.397318600711717,0.16748175346292749,0.16748175346292749,-10.785865936300125,-10.758759570713167,-8.067749704021162,0.00812186718766271,0.001938527737175304,0.009769480503614363,-0.0022305194963856377,0.007671406375051329,0.010832517223089158,-0.0011674827769108422,-0.001148350448370472,0.08776948050361437,0.03776948050361437,0.0005181122705313263,0.9994818877294687,0.28458379602012457,0.8888195459976138,0.11648947039356988,0.09114286505843064,0.02119890428097077,2.4917793374137812e-05,0.21852944852668746,0.7602467293989675,0.9999999999999999,0.47932885666651653,0.47957733156666993,8.994386728970698,0.16947223905251269,0.705155485486811,0.187548880713489,0.030062737534170762,0.015296691874411022,0.015296691874411022,0.0,0.0,29.622888883167523,28.830705142886618,-0.35393751994512945,-0.35393751994512945,-0.6280497743863234,0.9704412967665946,-4.718447854656915e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,-5.713212108959809e-08,7.137673958823587e-11,-3.711572879594449e-08,-3.1853281064891936e-08,-0.0011674827769108422
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,16.0,1.1553972075636336,0.0309845580135755,0.0,0.192,-0.44005829038242933,-0.5466472311339718,-0.1639787376295896,-0.8138206210829683,-1.090783005024023,2.1658517601969223,-0.0309845580135755,-0.324956290663417,-3.987153441280261,-4.018137999293836,-7.37528620207963,0.19148277242649162,0.19148277242649162,-10.763946070926545,-10.73296151291297,-8.045373798615932,0.008814767441124825,0.0019396853617506802,0.01020968015082236,-0.00179031984917764,0.008051534417303979,0.011104075339184158,-0.0008959246608158423,-0.0008697737455464205,0.08820968015082237,0.038209680150822364,0.0005170938343858423,0.9994829061656142,0.28455026095420377,0.8888457406102164,0.1164678457119348,0.09129895094474304,0.02119141225540788,2.4916823668688393e-05,0.22003110341615092,0.7587525675047724,0.9999999999999999,0.4793513251606834,0.4795993230135894,8.996506346133891,0.1694572625839086,0.7035024389943276,0.18804765190610018,0.03012272748578024,0.015319385695068827,0.015319385695068827,0.0,0.0,29.626222630955176,28.722342689824636,-0.3559787376295896,-0.3559787376295896,-0.6320582903824293,0.9633972075636337,9.194034422677078e-16,0.0,2.7755575615628914e-17,-4.440892098500626e-16,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.7763568394002505e-15,-6.661338147750939e-16,4.440892098500626e-16,0.0,0.0,0.0,-3.75290495721603e-07,4.4916504283315506e-10,-2.4242851394580545e-07,-2.088036877498367e-07,-0.0008959246608158423
0.33,0.2,0.9,2.0,5000.0,1e-06,near_unit_sigma_xl_090_hm_2_T_5000,18.0,1.1736309780778011,0.0348651802552856,0.0,0.216,-0.419255351216426,-0.5302130769418689,-0.14152121858839284,-0.7892827482896526,-1.0922667371636452,2.162271152920536,-0.0348651802552856,-0.32665909482651057,-3.961265340315104,-3.99613052057039,-7.3530531481825765,0.21548368576856008,0.21548368576856008,-10.740799859067028,-10.705934678811742,-8.022702600671936,0.009402983683903653,0.0019409535881732608,0.01058304359901787,-0.00141695640098213,0.008373765450327277,0.011334574277004503,-0.0006654257229954975,-0.0006333141476650428,0.08858304359901788,0.038583043599017874,0.0005161809641840452,0.999483819035816,0.2845075744031335,0.8888790835495524,0.11644031753825243,0.09149800011844099,0.021181877411195964,2.49339896165584e-05,0.22129499980180795,0.7574981887973794,0.9999999999999999,0.47937992514990047,0.47962749973516294,8.999205837597032,0.16943819743890348,0.7019966282025087,0.18843938764371623,0.030173759474362485,0.015348323547135553,0.015348323547135553,0.0,0.0,29.599181558126528,28.584983589734417,-0.3575212185883928,-0.3575212185883928,-0.635255351216426,0.9576309780778012,3.122502256758253e-16,0.0,-5.551115123125783e-17,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,-7.771561172376096e-16,8.881784197001252e-16,0.0,1.7763568394002505e-15,-7.771561172376096e-16,-4.440892098500626e-16,0.0,0.0,0.0,4.483390196735604e-07,-5.31089730136311e-10,2.887728704197706e-07,2.4891474506918976e-07,-0.0006654257229954975
