category,metric,value,relation,threshold,status,details
solver,maximum_rms_residual,2.999090618521005e-05,<=,3.01e-05,pass,
boundary,terminal_Y_over_K_error,2.2870594307278487e-14,<=,5e-07,pass,
equations,technologies_and_prices,4.094502514817577e-12,<=,5e-08,pass,
equations,shares_and_resources,1.7003065622134272e-12,<=,5e-08,pass,
equations,static_first_order_conditions,3.512212742862175e-11,<=,5e-07,pass,
equations,dynamic_rhs_reconstruction,1.0880185641326534e-14,<=,5e-08,pass,
equations,saved_path_derivative_residuals,8.17926847918038e-08,<=,3e-05,pass,
dynamics,independently_differenced_display_window,7.376975830891697e-08,<=,5e-05,pass,"argmax: z_T=16, state=log_consumption, time=4294"
domain,positive_and_interior,1.0,=,1.0,pass,
domain,clipping_detected,0.0,=,0.0,pass,
boundary_stability,initial_log_consumption_range,1.5459444835386194e-10,<=,1e-07,pass,
boundary_stability,initial_log_shadow_value_range,1.2999668008717435e-10,<=,1e-07,pass,
window_stability,maximum_log_capital_spread,3.2701082189445785e-05,<=,0.0005,pass,
window_stability,maximum_log_capability_spread,3.932236914749865e-06,<=,0.0005,pass,
window_stability,maximum_log_consumption_spread,2.3886756011393118e-05,<=,0.0005,pass,
window_stability,maximum_log_shadow_value_spread,7.225664586485436e-05,<=,0.0005,pass,
window_stability,maximum_output_per_capita_growth_spread,1.2651419605807374e-06,<=,5e-05,pass,
window_stability,maximum_wage_growth_spread,1.246654800032658e-06,<=,5e-05,pass,
window_stability,maximum_net_capital_return_spread,2.0794338515123245e-06,<=,5e-05,pass,
window_stability,maximum_aggregate_labor_share_spread,1.6073343489519942e-07,<=,5e-05,pass,
window_stability,maximum_ai_share_spread,2.3990064845769155e-07,<=,5e-05,pass,
