scenario,terminal_boundary_z,time,path_label,population_law_log_residual,final_ces_log_residual,final_output_log_residual,ai_share_residual,inference_identity_log_residual,research_service_identity_log_residual,research_ces_log_residual,capability_law_level_residual,wage_log_residual,ai_price_log_residual,ai_marginal_cost_log_residual,gross_return_residual,net_return_residual,inverse_elasticity_residual,monopoly_foc_log_residual,research_compute_foc_log_residual,research_human_foc_log_residual,labor_market_residual,resource_constraint_residual,household_budget_residual,final_firm_zero_profit_residual,research_machine_technology_share_residual,research_machine_cost_share_residual,inference_resource_share_residual,research_resource_share_residual,investment_share_residual,consumption_share_residual,resource_share_sum_residual,production_labor_income_share_residual,aggregate_labor_income_share_residual,ai_operating_profit_share_residual,ai_markup_residual,shadow_capability_to_capital_residual,capital_rhs_residual,capability_rhs_residual,consumption_euler_rhs_residual,shadow_costate_rhs_residual,reconstructed_ai_share,reconstructed_research_machine_share,reconstructed_output_capital_ratio,reconstructed_capability_growth,reconstructed_monopoly_soc_margin,minimum_positive_share_or_soc,minimum_log_positive_share_or_soc,positive_and_interior,share_clipping_detected,bounded_exp_clipping_detected,minimum_bounded_exp_argument,maximum_bounded_exp_argument,stored_capital_law_residual,stored_capability_law_residual,stored_consumption_euler_path_residual,stored_shadow_costate_residual
near_unit_sigma_1.10_z_8,8.0,0.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.3322676295501878e-15,6.661338147750939e-16,2.220446049250313e-16,0.0,0.0,2.0816681711721685e-16,-2.220446049250313e-16,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.1458605036790277,0.1275882557027823,0.29934727299211594,0.0017614041539637086,0.1380602451947148,2.5570360167634792e-05,-10.574076683205636,1,0,0,-11.780227614622008,-1.2061509314163725,0.0,0.0,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,0.6477843221131396,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,3.894454203567932e-16,-8.881784197001252e-16,-9.992007221626409e-16,0.0,0.0,-9.71445146547012e-17,-1.1102230246251565e-16,1.3877787807814457e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,-4.163336342344337e-17,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.14591876872899737,0.12808815405660876,0.29773513175780925,0.0017634133530527577,0.13807997785077952,2.574753026895172e-05,-10.567171847339738,1,0,0,-11.778722854655495,-1.2115510073157565,0.0,2.168404344971009e-19,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,1.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.371868756429919e-16,7.771561172376096e-16,-1.1102230246251565e-16,0.0,0.0,4.163336342344337e-17,-1.1102230246251565e-16,-1.942890293094024e-16,-1.942890293094024e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14594936972925088,0.12835130327948624,0.2969053574888366,0.0017644808064094574,0.1380903407393513,2.584092237292317e-05,-10.563551184140382,1,0,0,-11.777893036756982,-1.2143418526165997,-8.604540073509082e-09,6.860024050550639e-12,-5.087786466434485e-09,-4.781403641074267e-09
near_unit_sigma_1.10_z_8,8.0,1.2955686442262793,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,1.7763568394002505e-15,1.5178830414797062e-18,-1.1102230246251565e-16,4.440892098500626e-16,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1440501324067043e-15,3.3306690738754696e-16,1.1102230246251565e-15,0.0,0.0,1.5265566588595902e-16,-1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.7763568394002505e-15,0.0,0.0,1.5178830414797062e-18,0.0,0.0,0.14597448984133188,0.12856762988076417,0.29623312718982037,0.001765363584340763,0.13809884715454457,2.5917759703988638e-05,-10.560582121388867,1,0,0,-11.777190664177159,-1.2166085427882907,0.0,0.0,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,1.9433529663394187,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,-1.3227266504323154e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,-1.1102230246251565e-16,-8.326672684688674e-17,-8.326672684688674e-17,0.0,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-2.7755575615628914e-17,-4.440892098500626e-15,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.1460278417814238,0.1290280067582128,0.2948327187329486,0.001767258644137322,0.1381169125206921,2.6081457981268902e-05,-10.554285918278644,1,0,0,-11.775633056900082,-1.2213471386214367,0.0,0.0,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,2.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-9.402201239794294e-16,-8.881784197001252e-16,-2.220446049250313e-16,0.0,0.0,6.938893903907228e-17,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.1460324000529899,0.12906739879033063,0.29471482510508573,0.001767421857376077,0.13811845591092894,2.609547534328649e-05,-10.553748617158718,1,0,0,-11.775495701910595,-1.2217470847518772,2.156425419133634e-08,-1.7899289906156413e-11,1.2799763304816025e-08,1.200880540147553e-08
near_unit_sigma_1.10_z_8,8.0,2.5911372884525585,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,-9.454242944073599e-17,3.3306690738754696e-16,-5.551115123125783e-16,0.0,2.220446049250313e-16,1.942890293094024e-16,0.0,-1.942890293094024e-16,-1.6653345369377348e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1460789857337066,0.12947051455945224,0.2935261512057743,0.0017691020523072304,0.13813422873479322,2.6239009792421418e-05,-10.548263331169734,1,0,0,-11.774051873640818,-1.225788542471085,0.0,0.0,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,3.0,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-4.657732532997727e-16,0.0,-3.3306690738754696e-16,0.0,0.0,2.7755575615628914e-17,-1.1102230246251565e-16,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.14611019741053516,0.12974113415812105,0.2927465767845708,0.0017702404547201263,0.13814479559342252,2.6335452103606923e-05,-10.544594537771422,1,0,0,-11.773042507650434,-1.2284479698790114,-1.8112083527421774e-08,1.5444502447781172e-11,-1.078571218796065e-08,-1.0108780954670715e-08
near_unit_sigma_1.10_z_8,8.0,3.238921610565698,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,-1.1102230246251565e-16,-5.551115123125783e-17,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,4.917941054394248e-16,-9.992007221626409e-16,-1.6653345369377348e-15,0.0,2.220446049250313e-16,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14612807055322558,0.1298962971535915,0.29230636788860787,0.0017708970758968817,0.1381508463811508,2.6390776640416945e-05,-10.542495978536985,1,0,0,-11.772448800183842,-1.2299528216468554,0.0,0.0,0.0,0.0
near_unit_sigma_1.10_z_8,8.0,3.562813771622268,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.806255641895632e-16,-9.992007221626409e-16,-5.551115123125783e-16,0.0,0.0,4.163336342344337e-17,-1.1102230246251565e-16,-8.326672684688674e-17,-8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14615188421086292,0.13010325216851046,0.2917269872616505,0.0017717774005660458,0.13815890799482075,2.6464597706478688e-05,-10.539702653734201,1,0,0,-11.771639542941275,-1.2319368892070734,0.0,0.0,0.0,0.0
