sigma_xl,alpha,omega_x,log_ai_labor_ratio,log_composite_relative_to_unit,ai_share,production_labor_payment_share,gross_ai_service_payment_share
0.9,0.33,0.2,0.0,-0.0,0.2,0.5359999999999999,0.13399999999999998
0.9,0.33,0.2,0.25,-0.0005524706735794971,0.19559256755533658,0.5389529797379244,0.1310470202620755
0.9,0.33,0.2,0.5,-0.0021975571891584,0.19125904182062708,0.5418564419801798,0.12814355801982014
0.9,0.33,0.2,0.75,-0.004916808537482498,0.18699920917251306,0.5447105298544163,0.12528947014558373
0.9,0.33,0.2,1.0,-0.008691833241423308,0.1828128073051321,0.5475154191055615,0.1224845808944385
0.9,0.33,0.2,1.25,-0.013504311280203407,0.17869952720338664,0.5502713167737309,0.11972868322626903
0.9,0.33,0.2,1.5,-0.019336005519058286,0.17465901512498105,0.5529784598662626,0.11702154013373729
0.9,0.33,0.2,1.75,-0.026168772642909066,0.17069087458562074,0.555637114027634,0.11436288597236588
0.9,0.33,0.2,2.0,-0.03398457359387175,0.16679466834205514,0.558247572210823,0.11175242778917693
0.9,0.33,0.2,2.25,-0.04276548351382259,0.16296992036794183,0.560810153353479,0.10918984664652101
0.9,0.33,0.2,2.5,-0.05249370119437752,0.15921611781780842,0.5633252010620683,0.10667479893793164
0.9,0.33,0.2,2.75,-0.06315155803783062,0.15553271297468907,0.5657930823069582,0.10420691769304166
0.9,0.33,0.2,3.0,-0.07472152653367092,0.1519191251773159,0.5682141861311983,0.10178581386880164
0.9,0.33,0.2,3.25,-0.08718622825624078,0.1483747427230442,0.5705889223755604,0.09941107762443961
0.9,0.33,0.2,3.5,-0.1005284413900801,0.14489892474299018,0.5729177204221966,0.09708227957780341
0.9,0.33,0.2,3.75,-0.11473110779029072,0.14149100304615153,0.5752010279590783,0.09479897204092151
0.9,0.33,0.2,4.0,-0.12977733958605497,0.13815028392957096,0.5774393097671874,0.09256069023281253
0.9,0.33,0.2,4.25,-0.1456504253361547,0.13487604995188418,0.5796330465322376,0.0903669534677624
0.9,0.33,0.2,4.5,-0.16233383574590343,0.13166756166786708,0.581782733682529,0.08821726631747094
0.9,0.33,0.2,4.75,-0.1798112289555679,0.128524059321865,0.5838888802543504,0.08611111974564954
0.9,0.33,0.2,5.0,-0.1980664554107483,0.12544476449824132,0.5859520077861783,0.08404799221382168
0.9,0.33,0.2,5.25,-0.21708356232570547,0.12242888172723186,0.5879726492427546,0.08202735075724533
0.9,0.33,0.2,5.5,-0.23684679775092743,0.11947560004482703,0.5899513479699658,0.0800486520300341
0.9,0.33,0.2,5.75,-0.25734061425661436,0.11658409450553084,0.5918886566812943,0.07811134331870566
0.9,0.33,0.2,6.0,-0.27854967224394145,0.11375352764706097,0.5937851364764691,0.07621486352353084
0.9,0.33,0.2,6.25,-0.3004588428962548,0.11098305090625799,0.5956413558928071,0.07435864410719284
0.9,0.33,0.2,6.5,-0.3230532107824289,0.10827180598566513,0.5974578899896044,0.07254211001039564
0.9,0.33,0.2,6.75,-0.34631807612479726,0.1056189261704213,0.5992353194658177,0.07076468053418226
0.9,0.33,0.2,7.0,-0.3702389567440796,0.10302353759527977,0.6009742298111626,0.06902577018883743
0.9,0.33,0.2,7.25,-0.39480158969380175,0.10048476046172487,0.6026752104906443,0.06732478950935565
0.9,0.33,0.2,7.5,-0.4199919325966712,0.09800171020530564,0.6043388541624451,0.06566114583755477
0.9,0.33,0.2,7.75,-0.4457961646952886,0.09557349861344261,0.6059657559289934,0.06403424407100654
0.9,0.33,0.2,8.0,-0.47220068762959055,0.0931992348940902,0.6075565126209594,0.06244348737904042
0.9,0.33,0.2,8.25,-0.4991921259532086,0.09087802669575229,0.6091117221138459,0.06088827788615403
