sigma,time,output_effective_labor,output_effective_labor_growth,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,ai_service_price,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,ai_services_effective_labor_growth,inference_output_share,research_output_share,profit_output_share,inference_revenue_share,research_revenue_share,profit_revenue_share
0.9,0.0,1.9850494133832497,-5.6110930638229514e-05,0.00994388906936177,0.009943267850107058,1.0755289541908903,0.049901918066064574,0.5418147009034883,0.12818529909651166,0.99,0.1548946417994595,1.5632384816233857,6.557094389151575,-9.808193393542365e-05,-0.00015868175312823592,-2.9222946252923862e-05,0.0049136136092377694,3.5800811730246044e-07,0.12327132747915659,0.03833211486707437,2.792895283825905e-06,0.9616650922376418
0.9,0.4166666666666667,1.9850040159278044,-5.36818709060919e-05,0.009946318129093908,0.00994573288880542,1.07550408691515,0.04990609816051622,0.5418145647491056,0.12818543525089432,0.9900057871819502,0.15489309493198772,1.5631759681821067,6.556670086381749,-9.39018394837763e-05,-0.000151978399898502,-2.7530420540195985e-05,0.004913639175694998,3.582035388416807e-07,0.12327143787166048,0.03833227360095667,2.7944168394839663e-06,0.9616649319822038
0.9,0.8333333333333334,1.9849605864994142,-5.135390226599333e-05,0.009948646097734007,0.009948095344382884,1.075480301744168,0.04991010421666085,0.5418144365480002,0.1281855634519997,0.9900115778947374,0.15489158500221026,1.5631161227797368,6.556263740095008,-8.989578333914484e-05,-0.00014555411987490947,-2.590808682225755e-05,0.004913663248761121,3.5839901959407526e-07,0.12327154180421897,0.038332423062610234,2.7959390273170753e-06,0.9616647809983625
0.9,1.25,1.9849190429927304,-4.912281868898159e-05,0.009950877181311019,0.009950359484927977,1.0754575535347375,0.049913943478525055,0.5418143159699014,0.12818568403009856,0.9900173721374798,0.1548901104529203,1.5630588339755394,6.5558745995086065,-8.605652147494237e-05,-0.00013939730151284364,-2.4353025170969003e-05,0.004913685890446005,3.5859454731955945e-07,0.12327163954510523,0.03833256363707706,2.797461744911857e-06,0.961664638901178
0.9,1.6666666666666667,1.9848793068214692,-4.698459332732642e-05,0.009953015406672674,0.009952529396705299,1.0754357990785492,0.04991762288131013,0.541814202698663,0.128185797301337,0.990023169909198,0.1548886697935954,1.5630039951137915,6.555501946129728,-8.237711868986676e-05,-0.0001334968279516919,-2.2862440028184258e-05,0.0049137071601080395,3.5879011026027647e-07,0.1232717313511187,0.03833269569293219,2.798984893910195e-06,0.961664505322174
0.9,2.0833333333333335,1.9848413028211804,-4.4935373685507304e-05,0.009955064626314493,0.009954608989055634,1.0754149970487257,0.04992114905974035,0.5418140964318762,0.12818590356812376,0.9900289712088184,0.15488726159856442,1.5629515041906197,6.555145092850992,-7.885094025964802e-05,-0.00012784206368057945,-2.1433656856464575e-05,0.004913727114526746,3.589856971279679e-07,0.12327181746789989,0.038332819582734934,2.8005083799029957e-06,0.9616643799088852
0.9,2.5,1.9848049586345295,-4.2971450107618867e-05,0.009957028549892381,0.009956602026373497,1.0753951076618378,0.04992452840230141,0.5418139968783979,0.12818600312160205,0.990034776035185,0.15488588449534718,1.5629012630192969,6.5548033783295745,-7.547159769861513e-05,-0.00012242276754166788,-2.0064100262394066e-05,0.004913745808366948,3.591812970161478e-07,0.12327189813193809,0.03833293564591123,2.8020321116917495e-06,0.9616642623219771
0.9,2.916666666666667,1.984770205271392,-4.108928479691805e-05,0.009958910715203082,0.009958512098659123,1.075376092985841,0.04992776700137565,0.5418139037606103,0.12818609623938954,0.9900405843870493,0.154884537175298,1.5628531779887107,6.554476172078806,-7.223299862435008e-05,-0.00011722917283893582,-1.875131414859864e-05,0.004913763293754195,3.5937689948270407e-07,0.12327197356873586,0.03833304420611784,2.803556001982946e-06,0.9616641522378802
0.9,3.3333333333333335,1.9847369763874643,-3.928547477695214e-05,0.009960714525223048,0.009960342659103888,1.0753579165434461,0.049930870716975995,0.5418138168115192,0.12818618318848082,0.9900463962630852,0.15488321837991895,1.5628071590841814,6.5541628678774195,-6.912928302400291e-05,-0.0001122518850861249,-1.7492935999461126e-05,0.004913779620819863,3.5957249444641895e-07,0.12327204399516652,0.03833314557462718,2.8050799665180386e-06,0.9616640493454063
0.9,3.75,1.9847052084178327,-3.7556758905871526e-05,0.009962443241094129,0.009962097016972343,1.0753405433855492,0.04993384516472017,0.5418137357752939,0.12818626422470605,0.9900522116618865,0.15488192690340227,1.5627631200677525,6.553862884974868,-6.615483527982503e-05,-0.00010748190136819664,-1.628670175385198e-05,0.004913794837599383,3.5976807220753614e-07,0.12327210961903447,0.038333240049695745,2.8066039242463237e-06,0.96166395334638
0.9,4.166666666666667,1.9846748406228665,-3.590002036031083e-05,0.00996409997963969,0.009963778335081558,1.0753239401164616,0.04993669571158785,0.5418136604074569,0.128186339592543,0.9900580305819661,0.1548806615935106,1.5627209785395628,6.553575668497955,-6.33042884121502e-05,-0.00010291061719629353,-1.5130447532091598e-05,0.004913808989996894,3.59963623455621e-07,0.12327217063892265,0.03833332791634488,2.808127797390988e-06,0.9616638639558577
0.9,4.583333333333334,1.9846458145103656,-3.4312256961427715e-05,0.009965687743038572,0.009965389659912964,1.075308074576194,0.04993942752698756,0.5418135904725573,0.12818640952744265,0.9900638530217687,0.15487942134061408,1.5626806551536696,6.553300684172551,-6.05724730124383e-05,-9.852974458792081e-05,-1.40220890345686e-05,0.004913822122221872,3.6015913918659635e-07,0.12327222724608158,0.03833340944907192,2.8096515107515516e-06,0.9616637808994173
0.9,5.0,1.9846180742929578,-3.279060485044359e-05,0.009967209395149557,0.009966933897587274,1.0752929160919373,0.04994204554206298,0.5418135257460166,0.1281864742539833,0.9900696789796615,0.15487820508637654,1.5626420742374967,6.553037422483372,-5.795445793701538e-05,-9.43313774238886e-05,-1.2959637982310965e-05,0.004913834276442586,3.6035461077034514e-07,0.12327227962292994,0.03833348490969898,2.811174992272224e-06,0.9616637039153088
0.9,5.416666666666667,1.9845915663689149,-3.1332311820410005e-05,0.00996866768817959,0.009968413840926244,1.0752784351926037,0.04994455449558523,0.5418134660120392,0.1281865339879607,0.9900755084539449,0.15487701181390803,1.56260516308732,6.552785393932302,-5.544550441471431e-05,-9.030791782645327e-05,-1.1941183602212982e-05,0.004913845493178378,3.605500298761622e-07,0.12327232794475246,0.038333554549808545,2.8126981724150922e-06,0.961663632752019
0.9,5.833333333333334,1.9845662393292713,-2.993473776748308e-05,0.009970065262232517,0.00996983216899466,1.0752646036127391,0.04994695893320121,0.5418134110636432,0.12818658893635668,0.9900813414428532,0.15487584054790293,1.5625698519773725,6.5525441290951285,-5.304106679881494e-05,-8.645207740364154e-05,-1.0964892941953477e-05,0.004913855811293913,3.60745388474716e-07,0.12327237237967428,0.038333618610708116,2.8142209841766085e-06,0.9616635671683077
0.9,6.25,1.9845420440909955,-2.8595361633318092e-05,0.009971404638366682,0.009971191440055406,1.0752513943657382,0.04994926319551107,0.5418133607031989,0.12818663929680102,0.9900871779445514,0.15487469035717408,1.562536074339836,6.552313179827837,-5.0736804488965906e-05,-8.275689641310154e-05,-1.0029015691857476e-05,0.004913865267897913,3.609406788584087e-07,0.12327241308822424,0.03833367732280147,2.8157433632587337e-06,0.9616635069338353
